stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,82.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.25,0,0,0,4.38,0,0,0,2.61,0,0,0,1.89,0,0,14.23,0,0,0,0,0,0.9,0,0,0,72.99,0,0,0,0,0
 24-34,0,0.59,0.76,0.68,7.75,0,0,0.92,2.75,0,0,0,8.98,0,0,0,7.32,0,0,48.88,0.75,0,0,0,0,0,2.86,0,0.62,70.91,0,0,0,0,0
 36-46,0,0,0,0,14.55,0,0,0,0.56,0,7.94,0,5.27,0,0,0,7.6,5.63,0,38.73,0,0,0,0,0,0,0,0.76,0,76.09,0,0,0,0,0
 48-58,0,0,0,0,13.57,1.44,0,0.4,11.66,0,0,0,1.89,0,0,0,20.66,0,3.35,61.94,0,0.38,0,0,0.4,0,0.56,2.49,0,35.25,0,0.44,4.42,1.62,0
 60-70,0,0,0,0,28.77,1,0,0,147.03,0,0,0,0,0,0,0,24.95,27.72,1.73,31.46,0,0.91,0,0,0,0,1.12,4.18,0,33.87,0,25.31,0,55.4,0.96
 72-82,0,0,7.35,0,41.76,15.89,3.86,1,177.17,0,0,7.01,0.75,0,0,0,65.64,52.65,27.24,60.32,0,1.84,1.13,7.28,0.85,0,2.23,0,0,13.47,0,28.88,18.14,131.94,0
 84-94,0,0,2.88,2.32,77.92,12.72,0,3.75,185.05,0,0,0,0.65,6.09,0,0,55.61,51.63,12.36,33.14,0,0,0,0.91,3.93,0,2.23,1.32,0,17.34,0.57,38.16,7.51,178.55,0.82
 96-106,0,0,7.69,1.91,61.19,12.19,7.24,0.81,241.24,0.69,0,0.86,2.42,9.96,1.42,0,85.95,45.98,14.87,39.98,0,1.54,0,19.21,3.08,0,1.16,2.94,0,0,3.69,46.85,1.01,244.76,0
108-118,0,0,6.55,0,57.07,9.91,3.78,4.1,282.84,0,0,1.5,2.71,7.45,0,0.43,57.32,24.67,5.84,60.52,0,2.35,0,17.75,4.09,0,7.25,1.76,0,3.03,5.16,30.45,4.06,167.34,3.39
120,0,0,1.19,0,36.58,5.57,1.56,1.92,348.11,1.22,0,5.02,1.07,14.19,0,0,75.4,33.51,0,144.84,0,0,0,37.98,10.94,0,0,0,0,0,1.32,57.79,19.62,363.59,0
