stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,469.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33,0,0,0,0,0,0,0,0,0,0
  5-6,27.8,365.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.3,0,4.02,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,4.41,0,0,14.03,0,4.16,10.61,0,0,0,0,0,0,0,0,0
 10-12,0,7.78,0,23.35,0,0,0,25.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.84,3.99,0,0,68.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.71,7.08,3.22,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,0,0,0.87,48.17,5.07,1.08,1.02,0.99,0,3.74,0,0.87,0,3.46,9.64,0,0,0,0,1.92
 24-34,0,0,0.6,0.65,5.31,0,0,7.44,0,2.54,0,9.25,3.07,0,2,0,1.23,0,1.2,0.61,0,12.84,0,0,9.99,177.2,0.77,7.56,0,0,0,10.15,0,0.65,0,0,54.56,0,0,3.28,0,0
 36-46,0,0,0.98,0,0.84,0,0,30.03,0,0,0,12.61,0,0,0.73,0.65,0,1.49,0.57,0,8.18,21.54,4.59,0,2.21,220.43,0,4.64,1.08,0,0,17.92,0,6.37,0,0,61.32,0,0,3,0,0.61
 48-58,0,0,0,0,9.47,0,0,89.86,0,5.01,0,28.72,3.05,0.94,0.87,0.39,0,0,0.45,0,1.11,21.91,0.59,0.41,1.31,205.7,1.54,2.88,0.69,0,0,11.2,0,0.47,0,0,51.92,0,0.42,16.6,0,10.44
 60-70,0,0,0,0,14.86,0.76,0,133.78,0,0,0,36.67,0,0.63,0,3.19,1.33,0,3.88,0,4.52,28.84,2.41,1.76,6.17,181.13,0,2.52,0,0,0,3.84,0,1.95,0,0,43.17,0,0,3.52,1.06,2.69
 72-82,0,0,1.73,0.56,6.19,18.27,0,129.7,0.75,0.51,9,62.97,2,0,1.42,6.85,1.09,0,2.59,1.2,6.61,44,1.83,0.75,1.35,237.85,0,8.6,2.68,0,0.71,10.96,0,5.93,2.68,0,30.99,0,0.52,3.32,1.85,0.99
 84-94,0,0,1.16,0,21.67,27.04,0,136.02,0,1.68,0.85,22.04,0,3.17,0,3.17,4.29,3.01,0.61,0,0,58.08,5.77,0,0.6,161.93,0,6.25,5.93,0,0,29.74,0,5.77,0,0,34.46,3.72,2.16,16.66,0,0.7
 96-106,0,0,1.76,0,19.65,27.22,0.77,80.13,0,0.68,1.01,45.17,6.84,0,0,0.78,2.17,0,3.53,0,0.67,53.32,1.22,3.42,2.59,131.41,0,17.43,3.79,0,1.37,22.39,0,0.61,0,0,17.36,3.85,3.99,7.61,1.14,0
108-118,0,0,0.91,0,13.58,9.07,0.85,159.72,0,8.48,0,53.42,2.74,0,0,6.19,1.58,1.92,2.61,8.11,1.59,39.04,1.27,4.95,4.7,228.49,1.94,7.51,1.45,0,4.99,9.89,0,0.45,0.47,0,10.5,0.88,4.49,6.2,1.13,7.41
120,0,0,0,0,15.02,13.53,0,79.43,0,4.42,1.47,62.93,4.08,0,13.62,4.97,8.38,5.54,3.85,3.99,0,34.25,1.12,0,0,242.48,1.33,12.75,10.52,0,0,31.7,0,0,0,0,7.74,1.99,0,34.19,0,6.06
