stage,blastomeres,eye,glial,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord
  3-4,48.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.02,0,4.37,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.9,0
 24-34,0,0.69,0,0,0,4.03,0,0,0,0,0,3.54
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.84
 48-58,0,0,0.7,0,0,1.13,0,0,0,0.4,0,0
 60-70,0,0,0,0,0,1.19,0,0,2,0,0,0
 72-82,0,5.8,0.89,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.52,0,0.75,1.88,0,0,0,0.73,0,0
108-118,0,0,0,0,0,0,1.55,0,0,0,0,0
120,0,0,0,1.04,0,0,0,0,0,0,0,0
