stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.92,239.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0
  5-6,32.24,697.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,0,0,38.07,0,0,0,0,0,0,0,0,0
  7-9,0,34.66,19.73,0,0,46.04,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0,0,545.26,14.07,0,0,155.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,48.51,183.22,0,8.02,12.33,0,0,0,0,0,31.4,0,0,0,0,0,0,0,0,0,0,0,2652.42,36.5,0,0,533.81,0,13.44,7.13,84.99,0,22.03,5.88,0,0,0,0
 14-21,0,0,0,19.58,2.64,3.62,0,0,0,1.7,1.73,0,0,0,1.18,0,0,0,0,1.05,0,0,0.89,42.11,3.49,3.47,4.94,0.86,0,8.41,5.13,0,0,7.34,5.28,0,0,0,0
 24-34,0,0,0,10.09,0,8.39,0,1.11,0,0,1.01,0,0,1.21,0,0,0,0,0,12,0,0,4,55.94,0.63,1.25,0,0,0,29.28,0,0,2.03,4.33,10.15,0,0,0,1.25
 36-46,0,0,0,7.15,0,28.14,0,0,0,3.58,0.57,0,5.59,0,0.61,0,0,0,0,6.3,0,0,5.86,44.88,0,0,12.71,0,0,46.38,0,0,0,1.09,7.36,0,1.23,0,0
 48-58,0,0,0,11.74,0,33.53,3.94,1.58,0,24.35,0,0,0.77,4.97,0,3.42,0,0,0,12.7,2.57,0.44,9.15,85.43,1.4,0,2.67,0,0,19.21,0,0,4.87,0,21.62,0,0,0,0
 60-70,0,0,0,5.96,0,17.52,2.01,0,1.24,4.36,0.85,2.2,0,0,3.07,0,0,0,0,13.04,0,0,3.08,60.44,0,0,0,0,0,15.79,0,0,2.58,0,6.62,0,0,1.92,7.93
 72-82,0,0,0,1.39,0,19,0.65,0,0,1.71,0,0,0,1.6,1.24,0,1.04,0.72,1.74,14.83,0,0,5.34,43.06,0,1.28,0.99,0,0,12.46,0,0,1.46,0,15.7,0,3.23,0,0
 84-94,0,0,0,4.66,6.79,18.87,5.09,1.85,0,1.6,0,0,0,0,0.91,0.83,0,0,0,20.69,0,0,1.69,41.5,0.67,0,1.14,0,0,18.84,0,0.97,0,0,8.24,0,1.34,0,0
 96-106,0,0,0,0,0,1.8,0,2.08,0,0.79,0.85,0,0,2.55,0.63,0,0,0,0,20.53,0,0,4.03,16.51,0,0,0,0,0,23.74,0,0,0.6,0,7.11,0,0.99,0,0
108-118,0,0,0.74,9.87,0,14.64,3.28,3.04,1.53,11.15,1.66,0,0,0.43,1.81,0,0,0.61,0.6,37.37,0,0,7.76,53.67,0,0.47,1.8,0,0,13.67,0,0,0.92,0,6.8,0,6.73,0.44,0
120,0,0,0,14.87,2.52,30.17,9.08,1.25,2.35,52.24,19.23,0,0,30.49,3.73,0,0,0,0,71.29,0,0,51.06,224.34,1.48,0,0,0,4.48,64.7,0,1.04,3.62,0,8.98,5.78,11.8,3.77,0
