stage,endocrine.pancreas,endoderm,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0
 10-12,0,7.1,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0
 14-21,1.11,0,0,0,0,0,0,0,0,0,0,0,1.07,3.06,0,0,1.67
 24-34,0,0.68,0,0,0.71,0,0,0,0,0.66,0,0,28.86,0.75,0,0,12.35
 36-46,0,0,0,0,0.66,0,0,0,0,0,2.34,0,23,0.9,0,0.81,7.74
 48-58,0,0,0,0,2.43,0,0.59,0,0,0,0.37,0,32.22,0,0,0,5.91
 60-70,0,0,0,0,8.05,0,0,0,1.03,0,0.67,0,34.97,0,0,0,2.81
 72-82,0,0,0,0,7.75,0,0,0,0,0,1.12,0,12.67,0,0,0,3.39
 84-94,0,0,0,0,2.07,0,1.28,0,0,0,0.64,0,9.64,0,0,0,0
 96-106,0,0,1.36,1.14,7.86,2.14,0,0.59,1.48,0,0.84,2.2,17.96,0,0,0,0
108-118,0,0,0,0,2.82,0,0.77,0,0,0,0,0,7.62,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0
