stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.02,0,0,0,0,0,0,0,1.89,0.85,0,3.08,0
 24-34,0,0,0,1.79,0,0,0,0,2.6,14.24,0,0,3.02,0
 36-46,0.8,0,0,0,1.76,0,0.83,0,0,8.71,0,2.06,0,0
 48-58,3.17,0,0,4.11,3.02,0,1.63,0,0,5.35,0,0,4.76,1.98
 60-70,0,0,0,0.58,0,0,0,0,0,1.71,0,0,0,0
 72-82,0,0,0,0.96,7.42,0,4.64,0,0,2.01,0,0,0,0
 84-94,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.15,1.68,0,1.37,0,0,2.1,0,0
108-118,0,0,0.51,2.09,0,0,0,0,0,14.17,0,0,0,0
120,0,0,0,5.78,0,0,4.53,2.22,0,2.76,0,0,0,0
