stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0
 10-12,11.47,0,0,20.3,43.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.82,3.15,0,0,8.27,0,0,6.79,0,0,0,0,0,0,0,0
 14-21,0,0,6.94,0,1393.87,0,0,0,1.82,0,0,0,0,0,0,0,5.27,0,1.89,783.46,1.54,0,1.09,0,0,2.43,0,3.51,0,5.01,20.85,0,0,0,0
 24-34,2.5,0,4.7,0,1761.06,0,0,0,0.91,0,0,0,0,0,0,0,11.72,1.21,3.21,572.96,0,1.52,0,1,0,2.65,0,0,7.03,1.57,28.43,0,0.81,0,0
 36-46,0,0,0.69,0,1309.94,0,0,0,2.77,0,0,0,0,0,0,0.86,14.35,0,2.06,403.93,0,1.6,0.58,0,0,2.31,0,0,0,0,13.78,0,0,0,1.67
 48-58,0,0,4.77,0,794.05,0,0,0,19.08,0,0,3.11,0.46,0,0,0,7.82,0,3.76,177.53,11.02,0,0,0,0,0.54,0,0,0,0,12.36,0,0,0,0
 60-70,0,0.63,0.61,0,1361.9,0,0,0,26.35,0,0,0,0,0,0,0,30.93,0,0,117.02,0,0.89,0,0,0,1.86,0,0,0,0,12.02,0,0,0,0
 72-82,0,0,2.04,0.52,1513.55,0,0,4.81,64.06,1.48,0,0.58,0,0,3.47,0,20.47,0,0,78.98,0,0,2.08,0,0,8.98,0,0,0,0,3.28,1.19,1.09,0.72,4.42
 84-94,0,0,3.71,0.88,1577.52,1.12,0,0,75.09,1.68,0,0,0,0,0,0,4.94,0,1.76,35.92,1.87,0,0,0,0,0,0,0,0,0,20.83,0,0,0,0.87
 96-106,0,0,0.64,0,944.52,0,0.69,0.72,96,0,0,3.95,0,0.95,4.73,0,8.92,0,1.3,36.67,0,0,0.84,0,0,8.48,0,0,0,0,0,0,1.27,0,0
108-118,0,0,3.95,0.99,901.06,0,0.91,0,102.67,0,0,4.12,0,1.71,1.74,0,12.75,1.5,0,60.85,0,0,2.04,0,0,0,0,0,0,0,0.61,0,0,1.11,0
120,0,0,6.29,1.3,1230.29,0,0,0,119.47,0,1.17,3.47,0,0,13.85,0,8.45,0,0,147.21,0,0,0,0,36.36,0,0,0,0,0,2.03,0,0,0,0
