stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,0.99,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
 24-34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.31,0,0,8.62,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71,0,0,0,0.58,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0.72,0,2.12,0,0.7,0,0,0,0,0,0,0,0,0,6.71,0,0,0
 60-70,0,0,0,0,0,0,1.26,0,0,0,26.14,0,0,0,0,0,1.07,2.73,0,22.88,0,2.14,0,0,0,0.83,0,0,4.91,0,0,0,0,0,0,8.21,0,0,0
 72-82,0,0,0,0,2.9,0,24.1,0,0,0,85.46,1.17,10.19,0,0,0,11,97.75,0,108.62,0,6.93,0.5,25.03,0,3.3,0.55,0,0.84,0,0,0,0,3.69,0,15.49,39.02,20.12,0
 84-94,0,0,0,0.56,2.65,0,13.5,0.64,0,0,164.31,7.81,0,0,0,0.55,0,441.01,0,76.77,0,8.24,0,12.41,0,13.22,0,0,1.45,1.24,0.84,0,0,0,0,9.16,8.09,17.71,0
 96-106,0,3.52,0,21.85,28.69,1.07,135.38,0.69,2.81,0,441.82,96.1,21.41,5.01,3.84,0,0.65,2659.6,0,556.9,1.09,128.38,16.19,396.89,0,103.57,8.22,0,28.41,21.62,22.77,1.11,0,23.13,3.67,74.28,107.18,44.66,6.62
108-118,0,0,0,13.92,13.42,10.13,136.32,0.98,0.52,2.8,529.33,416.16,49.94,1.98,0,10.63,5.18,8180.22,1.99,900.09,1.68,104.27,17.95,489.21,2.27,72.65,18.81,0,44.92,14.2,147.79,0,0,7.22,0,60.96,116.32,69.35,0
120,0,0,0,12.28,1.59,2.92,80.74,19.31,2.55,0,539.5,188.23,47.46,3.89,0,7.62,0,3496.91,0,1448.13,1.59,216.56,18.24,315.68,0,82.02,12.25,0,111.84,15.61,101.59,1.22,0,35.72,13.88,95.77,88.46,28.83,0
