stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,19.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,0,0,5.14,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,0,0,0,6.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,38.78,0,0,0,28.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.52,0,0,0.86,0,0,0,0,1.34,0,0,1.94,0,0,0,0,0,0,0,19.12,1.25,0,0,0,0,5.42,0,1.79,3.51,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.71,0,0.83,0,0,0,0,1.54,1,0,0,0,3.05,0,0,1.69,52.32,0,3.28,0,0,1.7,0,4.79,0,4.59,0,0,0,0.63
 36-46,0,0,0,0,0.65,0,0,4.8,0.66,0,1.35,0,0,0,0,14.28,0,0,0.79,6.08,0,0,0,55.97,0,0.64,0,0,0,0,0,0,5.75,0,0,0.72,0
 48-58,0,0,0,0,0,0,0,17.8,0,0,4.26,0,0,0,0.49,0.78,0.41,0,0,7.52,0,0.77,0.49,51.59,0,0,1.1,0,1.18,0,0,0,7.94,0,0,1.05,0.54
 60-70,0,0,0,0,0,0,0,52.02,0,0,10.04,0,0,0,1.14,0,0,0,0,3.22,0,0,2.45,54.35,0.83,10,0,0,0,0,1.84,0,8.92,0,0,0,0
 72-82,0,0,1.04,0,0,0,0,29.06,0,0,6.01,1.92,0,0.91,0.81,0,0,1,0,10.9,0,0,0,40.91,0,1.33,0.53,0,0,0,0,0,3.26,0,0,0,0.67
 84-94,0,0,0,0,0,0,0,14.69,0,0,2.17,0,0,0,1.66,0,0,0,0,3.85,0,0,0.98,54,0,0,0.97,0,0.75,0,0,0,9.94,0.57,0,0,1.56
 96-106,0,0,0,0,2.05,1.91,0,8.77,0,1.53,1.41,0,0,0,1.56,1.29,0,2.12,0,8.79,0.71,2.02,0.7,31.78,0,1.08,1.24,0,0,0,0,0,2.54,0,3.79,7.02,0
108-118,0,0,0.41,0,3.08,1.27,0.55,7.89,0,0.78,2.27,1.04,0,0,3.78,1.4,2.09,1.02,0,12.02,6.57,4.41,0,42.4,0,2.94,0,0,2.15,0,0.53,0,0,0,0,6.41,0
120,0,0,0,0,1.27,4.22,0,1.31,0,0,6.55,0,0,0,0,7.58,0,0,0,24.52,0,0,2.4,51.39,6.46,16.36,0,0,0,0,1.47,0,0,0,0,1.4,0
