stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.45,4.42,0,6.22,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,78.14,5.45,0,36.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,9.45,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.41,7.41,0,58.66,0,0,6.56,0,7.42,0,0,0,0,0,0
 14-21,0,0,0,1.84,9.52,10.81,0,5.44,0,0,0,2.92,2.09,0,2.99,6.17,0,0,0,1.16,0,12.67,0,0,8.14,49.2,2.79,3.41,2.79,0,0,0,5.1,0.82,7.72,15.94,0,3.62,0,0
 24-34,0,0,0,0.74,7.56,0,0,7.03,0,0,0,2.92,0,0,11.49,6.67,0,0.99,0,0.71,9.04,37.16,0,0,14.53,55.03,0,0,0,0,0,0,0,0,0.64,12.18,0,65.69,0,3.19
 36-46,0,0,0,0,5.23,0,0,4.83,5.45,0,0,4.04,0,0,3.28,26.64,0,1.36,1.17,0,0,41.79,0,0.86,12.16,56.73,0,0,0,0,1.37,0,0,0,0,17.88,0,46.52,0,7.57
 48-58,0,0,0,0,0,6.79,0,2.43,0.71,0,1,15.24,0.97,0,16.96,4.05,0,0,0,0,0,53.07,0,0.86,7.18,47.59,0,0,0,0,0,0,0,0,0,6.96,0.44,51.69,0,0.6
 60-70,0,0,0,0,2.14,0.99,0,17.39,0,0,2.6,21.99,0,0,12.38,20.33,0,2.88,0.72,0,0,97.25,0,5.85,17.64,20.35,0.74,0,0,1.08,0,0,0,4.15,0,7.16,0,85.57,0,7.08
 72-82,0,0,1.1,0,3.86,0,0,3.26,0,0,1.03,25.46,2.58,0,33.72,14.09,0,1.66,0,3.29,0,163.54,0,20.59,18.52,24.97,0,0.56,0,4.05,0.72,0,0,0,0,2.85,3.01,131.24,1.08,0
 84-94,0,0,0,0,2.59,0,0,6.72,0.55,0,1.79,25.13,12.5,0,18.96,10.19,1.76,1.53,0,3.01,0,101.82,0,16.21,13.75,33.62,0,2.7,0,2.56,0.82,0,0,0,0,4.86,11.2,93.47,0,2.81
 96-106,0,0,0,0,3.54,0,2.47,6.45,0,2.72,1.85,15.18,8.6,0,23.19,22.74,0.73,9.45,0,23.87,0,133.22,1.66,16.84,14.48,30.27,0,1.31,0,6.9,19.01,0,0,1.59,0,7,3.83,148.38,2.51,13.13
108-118,0,0,0.41,1.06,9.49,0,0.5,10.44,0,2.54,2.67,22.77,10.32,0,12.58,23.48,0.64,15.84,1.24,4.43,1.58,210.66,0,14.34,14.13,29.27,0.44,0,0,13.23,0,0,0,0.85,0,1.72,0.75,122.7,1.09,5.02
120,0,0,0,0,4.26,0,0,22.14,0,1.11,1.85,27.48,2.33,0,39.28,23.05,0,27.25,0,5.07,3.28,312.44,1.56,16.48,7.92,32.84,0,0,0,0,11.84,0,0,0,0,16.51,4.17,128.48,2.27,0
