stage,eye,glial,ionocyte,mesenchyme,neural,otic,visceral.smooth.muscle
 60-70,0,0,0,0,2.51,0,0
 72-82,3.5,0,0,0.67,0.75,0,0
 84-94,6.59,0,0.61,0,1.24,0,0.68
 96-106,0,2.42,0,0,0,0.75,0
108-118,1.31,0,0,0,7.54,0,0
120,3.32,0,0,0,0,0,0
