stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,245.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
  5-6,6.85,57.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.49,0,0,0,10.19,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,10.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.9,0,3.65,0.97,0,0,0,0,0.9,4.59,0,0.86,0,0,0
 24-34,0,0,0,0,0,1.71,0,0.65,0,0,0,0,0.67,0,0,0,0,0.92,0,0,9.41,0,0,0,0,2.95,0,0,8.29,0.76,0,0,2.27
 36-46,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.72,0.89,3.14,0,0.56,0,0,1.52,0,0,36.42,0.84,0,0,14.8
 48-58,0,0,0,0,0,0,0,2.76,0.43,0,0,0,0,0,0,0,0,0.39,0.42,0,1.73,0,2.32,0,0,0,0,0,4.64,0,0,0,11.92
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0.69,3.9,0,3.66,0,0,0,6.71,0,0.73,0,0,2.15,0,0,22.47,0,0,0,8.81
 72-82,0,0,0,0,0,0,0,1.52,0,0,1.46,13.24,0,0,0,0,10.83,0,0.87,0,10.38,0,0,0,0,1.34,0,0,30.68,5.73,0.73,0,0
 84-94,0,0,0,0,0.66,1.1,0,1.3,0,0,0,23.26,0,0,4.96,0,18.33,0,0.69,0,5.64,0,0,0,0,1.55,0,0,74.49,0,0,1.09,6.39
 96-106,0,0,2.05,1.03,3.89,12.64,1.51,25.73,1.41,1.32,2.62,87.5,0,0.74,4.99,0,73.85,0,24.87,0,37.68,0,2.92,2.14,0,3.18,0,0,85.17,0,5.06,0,0
108-118,0,0,0,1.51,0.91,2.09,1.59,17.21,0,0,8.4,149.23,0,0.48,5.17,1.04,75.03,0,3.03,0.45,44.58,0,1.3,1.87,0,6.19,0,0,67.5,0,1.51,0,0
120,0,0,0,0,1.99,2.67,2.66,0,0,0,1.34,90.18,0,0,0,0,61.21,0,2.3,0,53.97,0,16.58,7.7,0,0,0,0,67.68,3.65,0,0,0
