stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,204.45,3138.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.84,0,0,0,0,0,0,0,0,0,0
  5-6,206.78,5116.47,0,6.55,0,0,0,0,0,0,0,44.62,0,0,0,0,0,0,0,0,0,0,0,268.16,15.88,0,0,70.48,28.12,0,0,0,0,0,0,0,0,0,0
  7-9,30.73,38.44,0,78.56,0,6.96,209.44,0,0,0,0,46.79,0,0,0,0,0,0,0,0,0,0,0,2006.66,34.22,0,0,577.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,43.12,0,182.14,0,9.56,158.05,0,0,0,0,5.87,0,0,0,0,0,3.73,0,0,0,0,0,2103.69,38.95,0,0,617.2,6.84,0,83.96,0,6.98,0,0,0,0,0,0
 14-21,0,0,0,5.85,44.79,14.99,30.22,0,0,16.85,0.83,0,1.45,0,0,0,0,0,0,30.35,0,0,30.25,512.26,8.44,1.36,4.82,9.28,23.66,59.73,3.81,0.88,48.79,165.65,0,0,6.28,0,0
 24-34,0,0.83,0,0.64,6.64,0,50.23,0,0.76,14.54,0.92,0,1.62,0,0,4.08,0,0,0,54.65,1.79,0,19.36,496.42,0,2.49,3.2,0,12.43,0,0,0,1.27,87.49,0,0,4.34,0,0
 36-46,0,0,0,0,7.97,0,45.06,0,0,8.99,0,0,0.73,0,0,1.49,0,0,0,24.76,0,0,5.29,211.38,0.58,1.92,1.33,0,14.24,0,0,0,0,29.76,0,0,2.24,0,0
 48-58,0,0,0,0,3.07,0,132.34,0,1.63,32.37,0.61,0,1.83,0,0,0,0.46,2.78,5.18,69.13,0,2.15,14.47,222.3,0,1.89,4.24,0,7.39,0.92,0.77,0,0,49.69,0,0,1.95,0,0.44
 60-70,0,0,0,0,2.23,0,64.86,1.21,0.81,19.32,1.35,0,0,0,0,0,0,0,0,41.56,0,0.88,1.88,125.59,0,1.42,2.01,0,3.1,0,0.97,0,0,15.48,0,0,5.48,0.73,0
 72-82,0,0,0.68,0,5.02,0.68,64.07,0.62,1.33,18.37,0,0,0,0,0,0.72,0,0,0,67.45,0,1.14,5.77,119.66,0,0.74,0.5,0,18.54,0,0,0,0,9.5,0,0.51,4.98,0.54,6.66
 84-94,0,0,0,0,3.96,0,41.09,0,1.21,16.09,0,0,1.67,0,2.08,0,1.83,0,0,29.87,0,3.51,9.65,35.78,0,0,1.98,0,17.64,0,0,0,0,18.71,1.46,0,1.42,0,0
 96-106,0,0,0,1.03,8.24,0,39.88,0,0,14.67,0.89,0,0.68,0,0.94,1.63,0,0,0,25.28,0,1.81,2.24,64.07,0.81,3.29,3.7,0,23.49,0,0,0,0,0,0.56,0,9.69,1.13,0
108-118,0,0,0,0,1.87,0,31.19,2.46,1.16,16.35,0,0,0,0.47,0.44,0,0,0.81,0.58,27.86,0,0,9.34,97.44,0.46,0,3.69,0,17.79,0,0,0,0,8.68,0,0.54,1.27,1.72,0
120,0,0,0,0,4.53,0,25.76,0,0,18.07,1.31,0,0,0,2.58,0,0,0,0,12.42,0,0,1.18,56.54,1.1,0,0,0,2.7,0,0,0,0,8.47,0,0,0,0,0
