stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,periderm
  5-6,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0
 10-12,0,0,4.17,0,0,0,0,0,0,0,37.86,0,4.45,0
 14-21,0,4.46,0,1.16,0,0,0,0,0,0,1.03,0,0,0
 24-34,0,25.72,0,0,0,0,0,0,0,0,9.79,0,0,0.89
 36-46,0,1.34,0,4.73,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.67,0,0,0,0,0,0,3.64,0,0,0
 60-70,0,4.03,0,0.69,0.68,0,0,0,0.63,0,0,0,0,0
 72-82,0,0.64,0,0,0,7.29,0,0,5.6,0,0,0,0,0
 84-94,0,0.65,2.8,2.32,0,0,0,0,1.61,0,0,1.36,0,0
 96-106,0,5.08,0,4.27,0,0,0,0.63,9.75,2.17,7.1,0.67,0,0
108-118,0,4.99,2.45,3.1,0,0,3.58,0,4.79,0,3.25,0,0,0
120,0,2.82,2.83,1.44,0,0,1.65,0,20.02,0,0,0,0,0
