stage,blastomeres,eye,hatching_gland,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,9.63,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.2,0,29.08,0,0,0,8.78,0,0,0,0
 10-12,0,0,0,0,16.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.87,0,0,0,0,1.74,0.84,2.97,0
 24-34,0,0.8,0,2.41,0,0,0.96,0.63,0,0,0,1.02,0
 36-46,0,0.8,0,0,1.68,2.31,5.65,0,0,0,0,1.55,0
 48-58,0,0,0,0,4.42,0,7.99,0,0,0,0,0,0
 60-70,0,0,0,0,7.88,0,7.91,0,0,0,0,0,0
 72-82,0,2.7,0,0.66,7.56,0,10.31,0,0,0,0,5.37,0.88
 84-94,0,6.14,0,0,13.86,0,1.53,0,0,0,0,0,0
 96-106,0,3.96,0,0,41.41,0,13.33,0,0,0,0,0,0
108-118,0,4.47,0,0,22.51,0,13.48,0,0,0,0,0,0
120,0,6.76,0,0,9.81,0,27.41,0,0,0,2.39,0,0
