stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92,0,0,11.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,5.7,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,2.6,148.91,0.85,0,0,0,0,0,0
 24-34,0,0.59,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0.78,0,179.91,0,2.83,0,0,0,0,0.6
 36-46,0,0,0,0,0,0,0,0,0,0,2.59,0,0,11.19,0,0,0,0,0,129.5,0,3.54,0,0,0,0,0
 48-58,0,0,0,0,6.72,1.31,0.92,0,0,0,1.86,0,0,13.06,0.5,0,0,7.87,0,61.02,0,0.39,0,0,0,0,0
 60-70,0,0,7.97,0,6.55,0,2.62,1.09,1.16,0,3.28,0,2.34,21,0,0,0,1.18,0,59.72,0,1.06,0,0,0,0,0
 72-82,0,0,0.99,0,4.09,0.93,6.26,0,0,0,3.57,0,0,20.93,0,0,0,0,0,58.31,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,10.29,1.21,0.62,0,4.11,0,0,5.59,0,0,0,0,0,124.53,0,1.45,0,0,0,0,0.82
 96-106,0,0.76,0,1.77,3.92,3.78,11.33,0,0,0,4.91,3.15,0,26.73,0,1.17,0,0,0,143.84,0,0,0.72,0,0,0,4.13
108-118,0,0,1.12,1.43,0.85,9.4,35.41,0,0,0.89,4.05,0,0.65,13.26,0,1.72,0,1.35,0,160.89,0,0,0,0,0,1.72,0
120,0,3.73,0,0,10.07,0,88.41,12.14,0,16.93,1.34,0,0,49.87,0,0,0,0,0,177.78,0,0,0,1.52,7.32,0,0
