stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0
 24-34,0,0.85,0,0,0,0,0,0,0,0,0,0,24.07,0,0,0,0,3.4,0,0,0,0
 36-46,0,0,0,0.87,0,0,0,0,0,0,0,0,120.01,0,0,0,0,14.22,0,0,0,0
 48-58,0,2.4,0,9.94,0,6.22,0,0,0,0.62,7.7,0,310.83,0,0,0,0,21.35,0,0,0,0
 60-70,0,1.44,0,76.25,0,0.57,0,0,0,5.4,0,2.61,528,0.92,0,0,0.59,21.94,0,0,2.56,0
 72-82,0,4.15,9.68,347.05,0,16.27,0.57,0,0,4.16,6.78,0,971.15,0,0,0,0,23.57,0,0,0,0
 84-94,0,2.05,0,189.28,0.57,11.12,0,0,5.92,2.36,0,0,567.51,2.7,0,0,0,1.33,0,1.64,0,0
 96-106,0,0,4.03,209,0,6.54,0,0,0,7.68,0,0,574.28,0,1.16,7.49,0,13.2,0,0,0,6.26
108-118,0,1.91,2.05,203.38,1.49,6.85,0,0.7,0,4.66,0,0,592.49,0,7.39,1.44,0,13.73,0.89,0,0,0
120,0,6.49,0,369.69,0,0,0,0,0,0,0,0,1076.79,0,0,0,0,7.65,0,0,1.1,0
