stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,11.6,77.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,7.15,0,0,0,0,0
  7-9,10.88,30.25,13.52,0,352.7,0,0,0,0,0,0,0,1342.42,15.85,0,0,611.61,0,0,0,0,0,0
 10-12,0,27.88,0,0,143.1,0,0,0,0,0,0,0,360.16,3.15,0,0,58.58,0,0,0,0,0,0
 14-21,0,0,0.87,0.81,7.37,0,0,0,0,0,0,0,78.53,0,0,0,2.19,0,2.3,0,2.01,0,0
 24-34,0,0,0,0.65,6.96,0,0,0,0.76,0,0,0.91,32.59,1.66,0,0,0,0,0,0,2.27,0,0
 36-46,0,0,0,0,0,0,0,0,1.19,0,0,0,44.69,0,0,0,0,4.11,0,0,1.23,0,1.43
 48-58,0,0,0,0,13.03,0,0,0,0.75,0,0,0.69,6.58,0,0,0,0,0,0,0,0.46,0,0
 60-70,0,0,0,0,62.74,0,0,0.81,2.62,0,1.11,0,3.69,0,0,0,0,0,0,1.17,1.44,0,0
 72-82,0,0,0,0,166.5,0,0,0,23.83,0,4.79,0,29.92,0,1.69,0,0,0,0,0,0,6.08,1.02
 84-94,0,0,0,0,231.39,0,0,0,4.99,0,1.06,0,2.82,0,0,3.83,0,1.79,0,0,0,0,0
 96-106,0,0,0,7.27,297.26,0.86,9.25,0,8.96,4.97,18.46,1.33,9.13,0,0,0,0,1.13,0,0,0.83,0,5.21
108-118,0,0,0,0,247.24,0,0,0,7.89,0,18.09,0,22.04,0,0,0,0,1.23,0,0,0,0,0
120,0,0,0,0,261.64,0,0,0,0,0,10.21,2.8,56.36,0,0,0,0,0,0,0,0,0,0
