stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,27.46,273.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,266.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0
  7-9,5.4,0,0,0,5.97,0,0,0,9.12,0,0,0,0,0,0,0,0,14.78,0,0,0,3.45,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.24,5.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,19.74,0.83,0,0,0,0,0,1.16,14.18,0,0,0
 24-34,0,0,0,0,0.79,0,0.97,0,0,0,0,0,0,0,0,0,1.78,87.86,0,1.57,0.74,0,0,0,0,19.79,0,1.5,0
 36-46,0,0,1.9,0,5.37,0,8.56,0,0,0,0,0,0,0.8,0,0,1.27,87.06,0,3.2,0,0,0,9.52,0,28.73,0,0,0
 48-58,0,0,0.42,0.7,23.65,0.79,22.08,0,0,0,0,0,0.4,3.2,0,0,0,150.8,0,0.74,0.95,0,0,0,0,29.65,0,0.43,0
 60-70,0,0,0,0,52.55,0,27.85,0,0,0,0.6,0,0,5.33,0,0,2.16,229.01,0,0,0,0,0,0,0,23.76,0,0.6,0
 72-82,0,0,0,0,53.16,0,12.24,0,0,0,0,0.64,0,13.36,0.96,1.95,0,238.95,0,3,0,0,0,0,0,15.69,0,0,1.45
 84-94,0,0,0.94,5.29,47.58,0,6.6,0,0,2.41,0,0.62,0,2.33,0.57,0.87,0,131.43,0,7.55,0,0,0,0,0,14.13,0,0,0
 96-106,0,0,0,0,79.8,0,7.47,0,0,0,0,0,0,5.59,1.41,0,1.66,138.63,0,0.61,0,0,1.51,0.97,0,8.71,0,0,0
108-118,0,0,0,0.95,56.95,0,16.52,4.1,0,0,0,0,0,6.28,0,0,0,171.31,0,2,0,0,0,0.44,0,7.25,0.68,0,0.55
120,0,0,0,0,48.6,0,43.07,1.29,0,0,0,0,0,21.01,0,0,3.21,315.86,0,1.61,0,0,0,0,0,16.95,0,0,0
