stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,18.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.57,0,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.16,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.21,170.41,18.94,0,134.47,0,0,0,1.61,0,0,7.28,0,0,1.14,0,0,175.84,0,0,130.17,716.74,1.8,0,7.31,1.78,0,11.39,0,1.12,0,1.83,8.71,46.28,0,2.01,0,0
 24-34,0.83,0,1.35,74.14,4.04,0,135.43,0,0,0.89,13.39,0,0,44,0,3.16,2.56,0,0,280.01,0,0,71.49,1523.16,10.32,0.71,1.45,0,1.14,11.05,0,0,1.91,0,1.72,153.8,0,0.64,0,1.12
 36-46,0,0,0,31.07,0,0,177.51,0,0.58,0,60.09,0,0,37.57,11.77,0,1.34,4.15,0,272.23,0,2.48,21.66,798.18,1.48,1.83,9.31,0,1.51,11.1,0,0,0,0,0,94.64,0,5.34,0,0
 48-58,0,0,0,10.27,0,0,129.34,0,0.46,5.27,180.92,0,3.75,12.14,0,0,1.86,0,0.48,352.73,0.8,1.88,33.84,489.13,0.45,0,4.39,0,2.4,5.16,0.65,0,0,0,0,73.27,0.79,0.46,0,0
 60-70,0,0,0,9.94,0,0,81.29,0,0,1.89,157.27,1.11,0.95,13.39,0,0,2.42,0,0,435.3,0,3.27,20.3,178.33,0,0,2.43,0,1.53,9.16,0,0,0,0,0,30.65,1.77,0,1.92,0
 72-82,0,0,0,6.61,0,0,66.11,1.52,0.68,6.67,160.17,0,1.22,0.51,0,0,10.98,0.96,0,582.22,0,3.41,19.9,169.91,0,0,9.39,0,0,2.18,0,0,0,0,0,19.93,2.89,0,0.53,0
 84-94,0,0,0,18.88,0,0,74.01,1.68,1.42,1.13,68.36,0,1.84,2.55,0,0,5.52,0.56,1.22,440.29,0,11.02,15.36,155.94,0,0,4.62,0,2.02,3.27,0,0,0,0,0,13.13,3.3,0,5.41,0.66
 96-106,0,0,0,11.15,3.07,0,52.78,5.51,6.17,0,105.51,0,0,0,0,0,3.57,0,0,479.64,0,6.07,15.06,131.15,0,0,2.73,0,4.21,7.79,0,0,0,0,0,1.63,5,4.51,3.2,0.68
108-118,0,0.71,0,12.33,0,2.65,40.84,1.18,1.57,0,124.33,0,0,0.8,0,0,10.73,0,0,526.24,0.51,8.15,11.33,113.63,0,0,9.2,0,6.99,3.5,0,0,0,0,0,3.47,4.29,0,4,0
120,0,0,0,25.25,0,0,108.72,0,1.39,0,175.05,1.86,0,0,2.95,0,0,0,0,425.46,0,11.56,11.07,143.65,0,0,0,0,2.76,3.19,0,0,0,0,0,0,0,0,14.05,0
