stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.58,449.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.62,0,0,0,0,0,0,0,0,0
  5-6,14.85,162.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.83,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09,0,0,0,15.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.38,0,0,3.12,0,0,0,0,9.54,0,0,0,0,0,0,23.74,4.45,0,0,4.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.78,1.24,1.9,0,1.69,0,5.48,0,0,0,0,0.81,0,4.96,161.6,2.07,0,0,0.9,0,5.23,0.89,5.01,12.42,47.5,0,0,0,0
 24-34,0,0,0.97,0,10.82,0,1.82,0,5.05,0,5.36,0,0,0,0,7.36,0,13.59,278.77,0,3.53,0.68,0,0,0,0,0,3.58,81.53,0,1.08,0,0
 36-46,0,0,0,0.96,1.48,0,19.04,0,1.06,0.82,1.88,0,0,0,5.45,8.63,0,1.07,351.89,5.37,0.87,0,0,0.8,0,0,0,0,101.68,0,0,0,0
 48-58,0,0,0,0,3.12,0,20.66,1.44,3.02,0,17.05,0,0,0,1.22,5.66,0,7.44,265.75,0,0,0,0,0,0,0,1.93,0,45.26,0,0,0,0
 60-70,0,0,0,0,7.22,0,22.27,0,0.59,2.36,37.13,0.97,0,0,5.72,11.86,0,4.62,356.95,0,0.89,0,0,0,0,0,5.48,0,34.25,0,0.68,0,0
 72-82,0,0,0,0,3.06,0,17.34,0,0.81,0.56,13.58,0,0,0,0,5.07,0,1.48,268.77,0,0,0,0,0,0,0.55,0,0,17.48,1.56,2.29,0,0
 84-94,0,0,0,0,3.42,0,15.02,0,0,0,9.82,0,1.49,0,0,15.28,0,2.16,84.8,0,0,3.97,0,7.91,0,0,0,0,10.01,0,0,0.6,0
 96-106,0,0,0,0,5.19,1.02,56.88,0,8.83,0,5.62,0,1.06,0,0,10.35,1.41,0.7,130.46,0,0,0,0,6.86,0,0,0,0,0,0,1.73,0,0.9
108-118,0,0,0,0,2.87,0,26.28,0.68,0.55,0,5.6,0,0,0.81,0,11.92,0,3.01,197.06,0,0,0,0,0,0,0,0,0,1.23,0,1.06,0,0
120,0,0,0,0,10.62,0,40.61,0,0,0,4.04,0,1.05,5.05,0,14.13,0,3.94,104.38,5.23,0,0,0,0,0,0,1.21,0,8.11,0,7.72,0,0
