stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.42,2182.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.65,0,0,0,0,0,0,0,0
  5-6,82.1,627.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,13.98,0,0,0,670.69,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.91,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,72.15,0,0,0,14.29,131.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.58,0,0,0,19.75,40.46,5.95,0,11.08,0,0,0,0,0
 14-21,0,0,0,4.03,64.66,0,2.64,0,0,0,1.02,0,0,0,0,5.95,0.93,0,0.96,2.12,0,0,38.2,0,0,26.41,1.28,1310.88,0.9,2.83,8.45,3.36,6.14,0,0.89,0
 24-34,0,0,0,1.2,51.67,0,1.28,0,3.34,0,1.94,2.55,0.76,0,0,25.06,43.12,0,3.52,6.11,0,0,74.8,0.75,22.08,33.43,0,1510.91,0,0,18.73,0,5.68,0,1.2,0.69
 36-46,0,0,0,0,23.96,0,4.76,1.68,2.4,0,1.08,0,2.18,0,0,26.84,22.42,1.07,2.98,10.39,0,1.06,64.79,0,32.73,30.06,0,1817.72,0,0,4.75,0,5.26,0,0,0
 48-58,0,0,0,0,48.15,0.81,12.92,0,24.93,0,11.06,0,9.36,0,0,1.62,31.82,1.78,31.08,9.3,0,0,69.87,0,20.43,54.65,0,861.81,0,0,10.98,0,3.34,0,2.76,3.36
 60-70,0,0,0,0,43.99,0,27.86,0,22.63,0.63,0,3.51,0.97,0,0,5.76,66.17,1.65,241.13,12.67,0,0.8,52.28,0,28.34,47.51,0,591.98,0,0,6.15,0,12.77,2.05,17.25,0
 72-82,0,0,2.05,0,31.35,1.27,21.98,1.06,4.16,0,5.28,10.07,1.18,0.81,0,6.52,71.81,2,458.38,15.09,0,0,52.7,0,58.29,64.59,0,384.71,0,0,3.03,0,0,9.41,0,7.44
 84-94,0,0,3.86,0,62.96,0.96,27.11,0,13.52,0,11.08,21.4,2.88,0,0,20.2,101.79,0.57,380.92,21.37,1.22,0,48.42,0,90.9,99.11,0,1127.41,0,0,2.94,0,0.76,7.52,1.73,0
 96-106,0,0,6.85,0.8,139.93,2.25,33.68,0,18.94,0,21.46,18.17,0,0,3.74,21.49,182.99,11.41,226.57,18.68,0,0,59.94,1.77,89.48,121.28,0,992.24,4.46,0,2.27,0,0,14.75,6.55,1.79
108-118,0,0,3.7,1.56,152.08,1.55,14.97,0,38,0,5.81,58.74,0,0,0,26.16,137.45,5.82,273.11,42.34,0,1.81,37.44,1.21,87.69,122.64,0,928.75,0,0,2.64,0,0,22.5,1.8,0
120,1.12,0,0,1.28,127.44,0,1.52,0,29.78,8.73,10.92,33.56,0,0,3.52,25.53,69.81,0,561.98,11.63,0,0,44.3,0,88.27,110.55,0,587.46,0,0,33.62,0,0,22.68,0,8.45
