stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,78.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.04,0,3.22,0,0,0,101.21,0,0,0,0,0,57.04,0,0,0,0,0,0,0,0,0,0,0,227.72,7.61,0,0,69.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.2,0,26.32,0,8.31,0,115.05,0,0,0,0,0,44.56,0,0,0,0,0,0,0,0,0,0,0,878.82,28.81,0,0,123.91,0,0,0,4.75,17.27,0,0,5.09,0,0,0,0,0
 14-21,0,1.07,9.45,75.56,82.93,0,25.61,0,0.82,0,19.9,0.82,4.12,2.69,0,2.66,0,0,0,2.07,54.25,0,0,67.26,497.15,0.82,7.93,16.76,5.6,0,4.31,0.91,37.31,2.38,9.49,78.8,177.13,0,0,41.58,0,0
 24-34,0,2.39,2.96,30.55,18.06,0,94.53,0,8.21,1.3,15.95,0.73,2.87,18.36,2.81,4.08,0.7,7.01,0.65,17.19,95.06,4.26,1.52,32.46,1194.68,17.49,10.22,25.67,0,0,9.63,0,0,0.7,1.65,26.95,283.02,0,0,269.27,0,16.5
 36-46,0,0,0,5.51,0,0,160.83,0,21.43,8.53,57.22,0,0,8.82,12.14,4.32,0,3.66,0.62,14.64,85.18,2.22,1.44,19.74,1037.47,6.71,11.42,10.44,0,0,33.22,0,0,0,5.97,0,273.87,0,0,165.3,0,3.28
 48-58,0,0,0,13.32,0.39,0,266.56,0.85,6.88,5.69,110.35,0,0,13.58,33.13,1.79,4.63,3.85,0,10.59,116.17,2.8,4.27,17.5,827.43,1.39,2.36,14.47,0,0,19.53,0,0,0,1.43,0,215.18,0,1.28,123.16,0,13.04
 60-70,0,0,0,14.9,0.67,0,369.68,2.88,8.53,25.96,85.39,1.21,0,7.18,29.79,0,0,5.81,2.74,2.78,143.45,1.48,3.79,24.85,597.4,8.18,8.29,9.12,0,1.75,7,0,0,1.06,0,0,65.15,2.13,3.01,84.36,1.03,8.84
 72-82,0,0.5,0,9.31,4.63,1.04,299.82,0,3.85,1.54,79.02,10.52,0,22.54,14.56,4.24,7.42,9.11,2.04,2.59,195.57,3.3,17.4,30.32,428.94,2.15,3.71,21.73,0,1.4,4.94,0,0,0,0.53,0,36.27,0.82,8.26,175.72,9.5,4.92
 84-94,0,2.46,0,14.42,3.01,2.62,245.09,1.35,10.17,2.68,78.88,3.73,0,21.92,39.69,11.16,6.97,1.87,1.49,13.2,127.76,1.61,19.15,16.53,383.18,1.11,3.76,17.99,0,1.31,17.47,0,0,0,1.43,0,17.83,0.57,6.24,145.92,5.07,11.69
 96-106,0,0,0,13.25,6.69,0,207.94,0,6.12,9,62.55,7.04,0,7.66,53.31,9.5,3.23,5.82,1.97,11.94,112.85,5.78,6.17,5.08,204.74,0,6.9,10.12,0,3.74,14.94,0,0,0,0,0,13.73,1.44,1.63,134.26,4.11,7.17
108-118,0,1.9,0,15.47,16.88,1.97,188.38,1.25,8.06,10.61,50.82,3.96,0,7.28,40.78,4.89,11.17,9.36,2.34,17.49,130.3,12.27,10.34,10.9,294.07,0,5.61,6.65,0,13.93,17.54,0,0,0.73,0.48,0,12.42,4.88,5.04,132.36,8.41,3.03
120,0,0,0,25.3,20.09,0,177.25,1.99,7.55,4.21,87.63,13.65,0,1.54,84.15,10.62,8.79,4.22,0,0,101.95,0,18.76,20.22,257.38,0,5.7,8.32,0,10.01,12.98,0,0,0,2.35,0,0,1.99,10.65,175,21.95,0
