stage,axial,blastomeres,epidermis,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,63.51,61.34,0,0,0,0,0,0,0
  5-6,0,51.65,0,0,25.16,0,0,0,0
  7-9,0,0,0,0,22.23,7.18,4.17,0,0
 10-12,0,7.32,0,3.5,45.44,0,4.18,0,0
 36-46,0,0,0,0,0,0,0,0,1.24
108-118,0,0,0.88,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.52,0
