stage,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,5.48,0,0,0,0
 10-12,0,0,0,0,0,0,15.05,0,0,0,0,0,0
 24-34,0,0.62,0,0,0,0,15.52,0,0,0,0,0,0
 36-46,0,0,0,0.66,0,0,29.36,0,0,3.53,0,0,0
 48-58,0.71,1.5,0,0,0,0.47,40.27,0,0,12.33,0,0.82,0
 60-70,0,20.77,0,0.57,0,0,63.28,0,0,26.51,0,0,0
 72-82,0,20.87,0.53,0,0,0,52.38,0.75,0,11.23,0,0,0
 84-94,0,15.25,0.75,0,0.96,0,68.53,4.45,0,8.49,2.04,0,0
 96-106,0,23.55,0,0,0,0,35.11,3.5,0,0,0,0,0.81
108-118,0,13.54,0,2.56,0,0,34.94,0,0,1.01,0,0,0
120,0,0,9.28,0,0,0,46.45,7.9,0,0,0,0,0
