stage,endocrine.pancreas,eye,glial,mesenchyme,neural,taste
 24-34,0.97,0,0,0,0,0
 36-46,0,0,0,0,22,0
 60-70,0,0,0,0,4.78,0
 72-82,0,32.35,0,0,5.24,0
 84-94,0,34.39,0.69,0,2.34,1.49
 96-106,0,21.57,0,0,0.64,4.09
108-118,0,55.74,0,1.48,5.9,7.37
120,7.01,26.24,0,0,2.9,0
