stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.13,0,5.3,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,26.92,0,0,0,24.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.04,0,2.33,0,0,24.93,0,0,0,0,0,3.99,0,0,0,0,0,0,4.98,0,0,1.86,69.53,0,0,0.82,0,0,2.28,0.9,0,26.95,50.51,0,0,0,0
 24-34,0,7.64,0.64,9.47,0,0,68.3,0,0,0,6.45,0,0,0,0,0.78,0,0,8.52,3.15,0,0,3.69,256.39,0,0,1.05,0,0,0,0.73,0,0,147.98,0,2.2,0,0
 36-46,0,5.76,0,0,0,0,45.02,1.02,0,0,11.74,0,0,0,0,0,0,0,0,4.12,0,0.8,7.81,616.79,0,1.3,2.11,0,0,0,0,0,0,144.52,0,0,0,0
 48-58,0,1.55,0,9.78,0,0,135.87,0,7.31,0,36.44,2.29,0,0,0,0,0,0,5.78,17.18,0,0,0.94,1072.61,0,0.75,0,0,0,0,0,0,0,212.68,0,0.53,0,23.59
 60-70,0,0,0,24.75,0.57,0,262.8,0,2.1,0,16.82,0,0,0,3.01,0.58,0,0,0,36.76,0,0,0,1366.09,0,0,2.03,0,1.86,0,1.12,0,0,220.03,0,7.89,0,5.95
 72-82,0,0,0,19.74,0,4.77,186.38,0,0,0,18.76,0,0,0.56,10.17,0,0,0.72,0.99,18.87,0.59,2.6,1.13,1103.64,0,0,3.02,0,0.75,0,0,0,0,150.23,0.56,6.73,1.14,0
 84-94,0,0.85,0,18.9,2.96,4.17,168.55,0,21.69,0,14.35,0,0,0,16.37,0,1.75,0,6.54,26.05,0,0,0.74,467.77,0,0,2.77,0,0,0,0,0,0,106.93,0.85,3.78,0,0
 96-106,0,2.43,0,39.29,0,6.16,111.61,0,4.66,0,4.34,1.02,0,0,16.03,0,0,0,0,11.35,0.84,2.84,2.6,384.12,0.59,6.25,0,0,2.15,0,0,0,0,26.83,0,5.22,0.68,0.89
108-118,0,1.11,0,37.49,0.94,22.96,93.88,0,10.75,0.74,12.01,0.95,0,0.56,24.69,0.46,0,0,16.17,4.47,0,0,1.77,468.42,0.59,0,0.56,0,0.59,0,0.81,0.43,0,34.81,1.46,6.64,0,0
120,0,1.73,0,37.47,2.75,4.72,92.42,0,3.19,3.22,2.56,0,0,0,18.48,0,0,0,7.12,30.22,0,0,0,391.18,0,0,0,0,6.73,0,0,0,0,33.77,0,4.55,0,0
