stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.8,67.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0
  5-6,0,54.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.55,0,0,0,0,4.51,0,0,0,0,0,0,0,23.14,0,0,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,27.4,0,0,0,3.69,0,0,0,0,0
 14-21,0,0,0,3.42,0,0,0,4.82,0,0,0,0,0,0,1.99,0,0,33.93,0,0,0,0,8.93,0,0.83,0,1.81,20.29,0,0,0
 24-34,0,0,0,1.07,5.86,1.14,0,1.24,0,0,0,0,0,0.65,7.33,0,0.72,121.27,0,0.75,0.67,0,1.47,0,0,0,0.67,28.68,1.24,0,0.93
 36-46,0,0,0,0,19.13,0,0,6.44,0,0,0.56,0,0,0,6.64,0,4.57,88.58,0,0,0,0,0,0.81,0,0,0,14.1,1.33,0,0
 48-58,0,0,0,0.37,44.83,0,0.99,2.54,0,0,0,0,0.49,1.52,10.6,0,2.69,28.88,0,0,0,0,0,0,0,0,0,11.65,0,0,0
 60-70,0,0,0,6.77,29.53,0,0,0,3.41,0,0,0,0,0,8.53,0,0.65,44.33,0,0,1.03,0,0,0,0,0,0,12.89,0.96,0,0
 72-82,0,0,0,0.53,4.98,0,0.62,5.63,0.92,0,0,0.59,0,0,9.61,1.7,1.24,28.2,0,2.41,0,0,0,0,0,0,0,4.9,0,0,0
 84-94,0,0,0,7.28,5.88,0,0,4.98,3.3,0,0,1.22,0,0,17.17,0,2.73,17.06,0,0,0,0,1.19,0,0,0,0,1.52,0,0,0
 96-106,0,0,1.03,0.6,5.01,0,0,2.23,2,0,0,0.65,1.55,3.27,6.58,4.37,0,30.53,0,3.24,1.75,0,0,0,0,0,0,1.86,0.59,0,0
108-118,0,0,0,3.91,9.93,0,0,5.95,0,0,0,5.5,0,0,8.85,0,0,21.93,0,3.12,2.03,0,1.16,0,0,0,0,0,0.46,0.68,0
120,0,0,0,1.34,3.75,0,0,0,3.43,0,0,8.31,0,0,5.7,0,0,14.95,4.72,0,0,0,0,0,0,0,0,4.02,0,0,0
