stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.05,11.73,0,0,0.94,2.05,0,12.25,0,1.7,5.56,0,0,0
 24-34,0,0,0.64,1.97,0.74,0,0,0,0,1.33,3.83,0,0,0,0,5.24,0,0,2.5,161.63,2.72,0,0,0,0,1.03,0,6.18,117.5,0,1.57,0
 36-46,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0.64,142.78,1.36,1.67,0,0,0,0,1.23,0,92.8,0,0,0
 48-58,0,0,0,0,2.58,0,0.49,7.66,0,1.45,1.53,0,0,1.47,0,17.15,0,0,0,207.23,0.41,0,0.74,0,0,0,0,0,50.47,0,0,0
 60-70,0,0,0,0,10.85,0,0.72,10.1,0,0,0,0,0,0,12.63,20.3,0,0,0.6,246.75,0,0,0.59,0,0.84,0,0,0,41.1,0,0,1.13
 72-82,0,0.68,0,0,29.96,0,0.94,50.99,1.99,0.88,0,0,0.6,0,0,12.61,0,2.24,0,383.58,0,0,0.61,0,0,0,0,0,7.01,0,0,1.51
 84-94,0,1.29,0,1.59,21.07,0,0,41.3,0,0,0,0,0,0,0.73,8.76,0,0,0,235.49,0,0.56,3.42,0,0,0,0,0,33.83,0,0,0
 96-106,0,5.27,0,1.25,32.48,0,0,55.74,0.6,0,0,0.75,1.08,0,0,12.68,0.71,0,1.74,326.26,0,0,0.59,0,0,0,0,0,11.14,0.99,0,0
108-118,0,0,0,1.11,43.76,0.51,0,73.91,0.95,0,0,5.15,0,0,0.53,9.1,0,0,0,314.12,0,0,6.27,0,0,0,0,0,7.15,0,0,0
120,0,7.54,0,14.8,41.32,14.64,0,41.21,0,0,0,0,0,0,0,9.13,0,0,0,524.48,0,0,8.63,0,0,0,0,0,3.59,0,6.45,0
