stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,3.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.71,0,0,0,3.04,0,0,0,0,0,0,0,0
 14-21,0,1.04,0.85,0,0,0,0,0,0,0,0,0,0,1.47,0.82,14.52,2.87,0,0,0,0,0,0.81,3,0,0,0,0
 24-34,0,0,0,1.32,0.68,0,0,0,0,0,0,0,0.69,1.1,1.49,49.7,0,0,0,0,0,2.59,0,10.54,0,5.48,0,0
 36-46,0,2.9,0,10.21,1.56,3.59,0,1.59,0,0,0,0,3.05,1.25,0,43.23,2.28,0,0,0,0,3.28,0,14.55,0,1.23,0,1.63
 48-58,0,0.58,0,12,0,0,0,0.82,0,0,0.42,0.47,0,7.42,0,95,0.39,0,1.14,0,0,6.73,0,13.06,0,0,0,0
 60-70,0,5.19,0,26.47,0,1.14,0,11.43,0,0,0,0,0,3.54,0,125.68,5.58,0,1.2,0,0,4.06,0,6.46,0,0.75,0,0
 72-82,0,5.93,0,69.08,0,0,0.89,4.9,0,0.66,0,0,0,8.76,0,186.79,0,0,0,0,0,3.14,0,25.44,0,4.86,0,0
 84-94,0,0,0,35.36,0,2.02,0,2.26,0.68,0,0,0.69,0,10.23,0,44.06,0,2.55,0,0,0,0.92,0,18.44,0,0.92,0,0
 96-106,0,4.78,0,33.37,0,2.56,0,7.3,1.03,0,0.62,0,0,3.43,0,27.14,0,1.09,0,0,0,2.8,0,0,0,2.94,0,0
108-118,0,3.19,0,21.8,0,0,0,6.15,1.37,0,0,0,0,1.55,0,78.84,0,1.56,0,0,0,0,0,3.87,1.55,0,0.49,0
120,0,3.35,2.75,69.58,0,0,0,7.33,0,0,3.09,0,3.89,0,0,178.86,0,0,0,0,5.5,0,0,7.12,0,0,0,0
