stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,277.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,136.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,54.96,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,91.19,0,0,0,23.69,0,15.98,5.5,0,0,0,0,0,0,0,0,0,0
 10-12,22.43,0,9.8,0,0,0,369.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367.44,0,0,0,73.8,0,3.1,0,0,10.53,0,0,0,0,0,0,0,0
 14-21,0,0,0,127.66,5.79,0,146.2,0,0,0,14.11,1.78,0,0,0,0,0,0,0,3.67,23.53,0,0,21.74,227.1,10.87,0,1.99,0.87,0,19.97,1.99,5.08,4.1,1.91,48.77,313.96,0,0,9.49,0,3.08
 24-34,0,0,0,51.4,1.97,0,34.06,0,9.77,6.44,17.14,0,2.71,0,0,0,0,0,4.49,1.89,22.42,0,0,8.85,296.85,2.78,0,6.7,0,0,12.6,0,0,0,0,2.51,248.37,0,0,82.37,0,19.96
 36-46,0,0,0,14.11,0,0,223.83,0,14.32,14.65,48.76,0,6.77,5.87,0,0,0.61,0,0,28.35,21.37,0,0,5.87,344.53,5.01,0,3.22,0,0,4.07,0,0,0,0,0,311.93,0,0,64.04,0,7.52
 48-58,0,0,0,19.55,2.35,0,964.4,0,23.25,11.08,47,0,0.37,2.41,0,0,0,0.48,0,12.26,29.92,0.52,1.42,1.51,305.23,0,0.91,3.95,0,0.61,1.49,0,0,0,1.65,0,190.65,0,0,59.14,0,4.21
 60-70,0,0,0,36.12,0,0,2685.09,1.91,24.83,51.99,120.83,0,0,3.56,0,0.59,0,1.28,0,21.31,103.78,0,7.99,2.6,256.62,2.49,0,0.57,0,7.53,0.76,0,0,0.63,0,0,117.09,0,3.07,65.96,0.78,20.32
 72-82,0,0,0,28.1,0.78,0,2460.71,0,17.87,21.91,161.04,2.13,0,0.6,0.96,2.07,1.49,0,10.73,31.24,105.38,0,2.68,3.04,279.77,0.53,0,5.47,0,8.32,1.82,0,0,0,0,0,114.08,0,3.27,127.48,5.83,21.67
 84-94,0,0,3.08,51.08,0,0,1411.77,0,21.37,34.29,160.12,1.94,1.22,1.75,0,2.59,5.28,1.7,5.43,35.6,139.98,0.57,5.83,1.16,272.58,0.94,0.61,8.72,0,8.69,6.71,0,0,0.7,0,0,60.97,0,3.32,126.63,4.18,23.5
 96-106,0,0,0,39.6,8.51,9.83,1327.45,0,31.53,19.87,149.47,0,0,13.3,0,1.47,2.35,2.99,1.87,16.16,127.21,3.74,4.77,0,238.37,2.65,0,4.46,0,19.44,16.1,0,0,0,0,0,34.32,0,1.56,142.39,2.24,16.24
108-118,0,1.15,0,56.92,0,2.27,1247.07,0,28.01,17.25,186.37,7.3,0,2.84,2.07,2.02,0.43,0.43,15.79,33.94,125.5,0,0,4.09,262.75,2.09,4.25,1.79,0,13.12,8.69,0,0,2.09,0.43,0,26.67,0.47,3.86,119.52,0.72,16.43
120,0,0,0,57.33,1.3,0,799.07,0,8.53,17.04,339.11,0,0,13.74,3.38,15.24,0,1.34,27.81,30.48,185.07,1.49,0,9.03,360.55,2.8,0,3.92,0,12.35,3.41,0,0,0,0,0,69.09,0,0,88.1,5.18,22.25
