stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.85,15.96,2.71,0,0.89,0,1,0,0,2.35,0,0,0,0,0,2.07,0,20.73,0,0,6.81,27.2,0,1.89,0,1.09,0,0,0,0.9,0,1.78,2.27,7.59,0,0,0,0,0
 24-34,0.8,6.88,2.22,0,0,3.39,0,0,0.99,0,0.67,1.4,5.35,0,0,1.8,0,0,8.05,0,0,6.49,107.63,7.04,14.59,2.89,0,0,4.31,0,0,2.76,0,0.9,22.22,0,0,4.93,0,0
 36-46,3.96,0,1.75,2.03,0,4.68,0,0,0,0.63,0,0,0.84,0,0,0.81,0,0,14.92,0,2.04,2.28,192.99,8.4,30.53,2.85,0,8.6,3.04,0,0,0,0,0,38.14,0,0,0,0.78,0.57
 48-58,1.22,0,1.25,0,0,79.02,0,0,0.44,3.28,0,0,0.67,0,10.14,0,0.52,0.54,18.51,0,1.85,11.38,397.89,6.36,17.78,14.53,0,6.7,10.85,0,0,0,0.4,0,27.29,0,1.97,1.7,0.65,4.16
 60-70,3.65,0,0,0,0,245.49,2.93,0.61,0,7.25,0.86,0,0,0,3.6,0,0,0,79.45,0,3.46,11.17,593.74,16.7,20.98,16.73,0,22.65,0,0,0,2.15,0,0,53.74,0,4.5,0.64,1.15,4.73
 72-82,1.29,0,8.19,0,9,723.8,0.96,4,1.07,47.02,1.68,0,1.71,0,20.13,0,9.13,6.34,93.07,0,23.41,17.86,1061.4,6.97,51.4,38.21,0,38.71,0,0,0,1.46,0,0,61.21,0,22.46,2.43,14.58,15.25
 84-94,3.63,0,6.94,2.21,14,469.33,0.79,2.29,8.97,25.68,0,0,0.78,0,22.12,1.82,2.07,7.31,90.26,0,14.54,5.99,787.46,9.73,27.2,26.05,0,44.71,8.1,0,0,0,0.69,0,61.48,0.9,9.8,0.63,14.99,8.08
 96-106,6.78,0,9.04,16.76,37.25,910.86,1.85,0,8.81,52.75,3.08,1.06,4.03,10.17,22.57,0.6,8.41,2.26,72.49,2.41,25.28,3.05,990.61,0.77,54.93,35.73,0,100.5,8.96,1.35,0,3.37,0,0,32.5,1.18,2.94,3.09,7.11,0
108-118,4.52,0.63,9.1,9.77,84.18,938.83,0.64,1.12,6.87,19.01,1.32,0,0,1.29,46.27,0,4.97,11.09,59.77,0.66,23.7,16.49,1195.08,5.15,32.97,54.37,0,77.89,0.93,0,0,1.91,0,0,47.3,0.67,0,4.66,9.58,0
120,0,0,24.11,1.8,19.26,803.82,0,11.81,5.01,74.3,0,0,0,6.78,13.8,0,21.49,3.2,102.82,0,14.93,21.74,1979.28,6.9,11.09,52.18,0,72.96,5.73,0,0,0,0,0,62.64,6.78,0,12.8,0,4.37
