stage,endoderm,glial,gut,mesenchyme,neural,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,5.8,1.77,0
 24-34,0,0,0,0,2.75,0,0
 36-46,0,0,0,0,0,2.17,0
 48-58,0,0,0,0.87,0.8,0,0
 60-70,0,0,0,0.73,0,0,0
 72-82,0,0,0,0.64,0,0,0
 84-94,0,0,0.6,1.96,0,0,0
 96-106,0,1.03,0,3.45,0,0,2.52
108-118,0.49,0,0,0,1.39,0,0
