stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.04,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79,0,0,0,8.5,0,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.56,4.54,4.89,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,11.87,2.16,0,1.02,0,5.76,0,0.86,0,2.64,13.06,0,0,0,0,0
 24-34,0,0,0,0.73,0,3.02,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,28.95,0,0,0,0,0,0,0,1.45,0,14.82,0,0,13.58,0,0
 36-46,0,0,0,0,0,4.5,0,0,1.2,0.56,0,0,0,0,0,0,7.02,0,0,5.04,44.14,0.6,2.12,0,0,1.61,0,0,1.46,0,4.55,0,0,18.86,0,0
 48-58,0,0,0,3.88,0,6.64,0,0.8,3.63,0,4.09,0,0,0,0,0,4.85,1.46,0,0.72,39.34,0.44,0,0,0,3.41,0,0,1.87,0,11.88,0,0,21.74,0,0
 60-70,0,0,0.89,0,0,25.58,0.59,0,12.06,0,8.35,0,0,0.63,0,1.56,5.37,0,0,0,53.81,0.61,1.09,1.26,0,0,0,0,12.62,0,4.51,0,0,33.91,0,0
 72-82,0,0,0,1.83,0,11.38,0,1.27,17.34,11.42,5.31,0,0,0,0,0,11.86,0,1.07,1.1,38.1,4.54,0,2.8,0,9.12,0,0,1.06,0,0,1.36,0,64.56,0,0.55
 84-94,0,0,0,1.18,0,4.01,0,0,3.96,0.76,0,1.62,0,0,0,0,1.91,0,0,0,18.94,0,0,2.07,0,5.15,0,0,4.6,0,0,0,0,78.25,0,0
 96-106,0,0,0,2.21,0,18.77,0,0,44.15,0.63,12.07,0,1.21,0,0.67,0,4.92,1.75,0.93,1.41,25.7,0,0,0.78,0,17.45,0,0,2.77,0,8.51,0.62,2.46,113.58,0,0
108-118,0,0,0,9.17,0,11.1,0,2.63,51.47,9.16,0.49,1.07,1.61,0,0.49,1.13,10.07,0,0,0,25.71,2.48,0,0.48,0,12.43,0,0,4.62,0,1.81,0,0,101.17,1.09,0
120,0,0,0,6.22,1.38,22.63,2.98,1.09,53.72,1.02,17.81,2.69,0,5.46,0,0,0,0,0,2.15,18.7,0,0,0,0,22.66,2.5,0,2.36,0,0,0,0,166.38,0,0
