stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,13.13,0,8.15,0,0,0,0,0
 10-12,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,26.75,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0.86,0,0,0,4.07,0,0,1.01
 24-34,0,0,0.69,0,0,0,0,6.41,0,0,0.63,0,0.67,0.67,0.71,7.65,0,0,0,15.08,0,0,1
 36-46,0,0,0,0,0,0,0,34.24,0,0,0,0,1.33,7.73,0,8.92,0,0,0,45.75,0,0,14.41
 48-58,0,0,0,0,2.96,0,0,148.86,0,0,0,0,0.78,2.68,0,11.66,0,0,2.87,132.47,0,0,6.38
 60-70,0,0,1.15,0,0,0,0,750.16,0,0,0,1.52,2.79,1.5,0,10.52,0,0,3.79,252.4,0,0,4.44
 72-82,0,0,0,1.18,25.61,0,0.71,1060.47,0,0,0,0,0,3.88,0,19.19,0,0,0,60.86,0,0,5.44
 84-94,0,0,1.73,0,22.31,0,0,1051.28,0,0,0,0,0,3.29,4.46,15.32,0,0,0,87.41,1.2,0,6.4
 96-106,0,0,2.25,0,21.06,0,0,746.37,0.56,0,0,0,0,5.83,0,32.28,1.35,0,5.34,16.25,0,0.96,8.5
108-118,0,0,0.78,0,9.79,0.55,2.22,757.36,0,2.41,0,0,0,1.1,0,21.69,0,0,0,16.5,0,0,8.22
120,0,0,0,0,2.2,0,0,639.2,0,0,0,0,1.33,6.25,0,9.59,0,0,0,30.2,0,0,0
