stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,241.57,2651.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.93,0,0,0,0,0,0,0,0,0,0
  5-6,155.81,2618.24,0,0,0,0,0,0,0,0,0,0,23.84,0,0,0,0,0,0,0,0,0,57.59,0,0,9.5,0,91.33,0,0,0,0,0,0,0,0,0,0
  7-9,50.34,29.7,0,19.06,0,0,33.11,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,482.5,21.86,0,162.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.29,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,64.16,0,0,16.55,0,0,0,11.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.85,8.54,11.04,0,0,0,0,1.08,0,0,0,0,0,0,0,0,25.37,0,9.06,62.78,0,1.24,0,0,0,0.96,5.33,0,2.55,25.62,0,0,1.02,0,0
 24-34,0,0,0,1.11,15.31,0.62,0,0,2.21,0,1.59,0,0,2.7,0,0,0,1.62,0,45.84,0.91,19.95,43.68,0,0.88,0,0,0.68,0,6.15,0,0.75,18.82,0,0,8.02,0,0
 36-46,0,0,0,0,1.63,0,4.44,1.31,0,0,3.85,2.14,0,0.57,0,0,1.21,0,1.36,43.49,1.71,7.76,30.09,0,3.34,0,0,0,0,0.88,0,0,17.21,0,0,1.01,0,0
 48-58,0,0,0,0.4,0.91,0,13.8,0,5.72,0,6.51,0,0,0.69,0,0,3.65,0.65,0,30.5,4.06,3.63,14.44,14.84,0.52,0,0.45,5.47,0,0,0,0,13.38,0,0.42,0.68,0,3.72
 60-70,0,0,0,0,3.1,0,27.11,0,0,0,2.97,2.66,0,0,0,4.18,0.67,0,0,29.34,3.19,1.76,13.43,7.05,0,0,1.65,0,0,0,1.46,0,2.89,0,2.79,0.84,0,0
 72-82,0,0,0,0,0.66,0,18.02,0,0,0,16.63,1.76,0,0.56,4.58,0,0.75,0.95,0,48.7,14.81,0,14.98,0,2.15,0,3.14,0,0,0,0,0,0.81,0,5.6,1.05,2.73,4.14
 84-94,0,0,0.66,0,3.15,0,22.89,0,0,0.59,5.57,4.79,0,1.14,0,0,0,0,0.57,33.16,6.73,5.87,21.71,4.96,0,0,0.77,2.83,0,0.96,0.57,0,4.74,1.53,0,3.95,2,0
 96-106,0,0,0,0,3.27,0.68,17.02,0,0,0.81,25.6,0.69,0,2.31,0,0,0.73,0.75,4.79,44.98,15.06,8.48,10.11,2.66,2.8,0,0,1.71,0,3.83,0,0,3.88,0,0,1.21,4.07,0
108-118,0,0,0,0,2.58,0,17.97,0,0,2.41,21.57,0.48,0,0,0,0,0,0,2.26,47.98,6.61,3.41,20.27,1.49,0.83,0,7.01,0.5,0,0.81,0,0,1.51,0,0,0,4.01,6.4
120,0,0,0,0,0,1.14,13.44,0,0,0,29.07,1.42,0,0,0,7.01,2.6,0,2.54,75.29,7.23,4.43,1.45,3.98,1.43,0,3.68,6.2,0,2.03,0,0,0,0,0,0,0,3.63
