stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,132.62,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,151.74,0,0,0,0,0,0,0,0,0,0,0,14.2,0
  7-9,6.37,12,3.45,0,15.54,0,5.85,0,0,0,65.7,0,35.72,0,0
 10-12,0,5.68,6.57,0,6.53,0,4.59,0,0,0,90.51,8.53,39.7,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,1.49,0,0,0,1.8
 24-34,0,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0.82
 36-46,0,0,0,0,1.03,0,0,0.92,0,0.59,0.64,0,0,0,0
 48-58,0,0,0,0,0.54,0,0,0,0,0,19.76,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.99,1.74,0,0,0,2.46
 84-94,0,0,0,0,0,0,0,0,0,1.88,1.52,0,0,0,0
108-118,0,0,0,0,0,0.62,0,0,0.8,0,3.14,0,0,0,0
