stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,149.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.97,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,0,0,0,0,0,0,3.97,2.61,0,0,0,0,4.33,0.86,0,0,3.27,0,0,0,0,2.36,0.9,1.57,1.76,0,25.19,0,0,0,0,0
 24-34,0,3.3,0,1.44,0,7.07,0,0,0,12.72,4.13,3.09,0,0.98,0,0.68,0,0,0,74.12,8.79,8.28,10.5,0,0.75,0,0,0,0.62,114.13,0,0,0,0,0
 36-46,0,1.72,1.53,5.04,0,87.74,0,0,0,55.01,0.72,0,0,1.15,0,0,0.58,0,0,130.51,11.57,24.81,15.19,0,0,0,0,3.22,0,147.59,0,0,0,0,0
 48-58,0,1.35,0.63,4.18,0,422.29,0,0,3.06,65.91,0,3.45,0,0,0,0.38,3.59,0,0,151.68,6.68,13.12,24.24,0,0.77,0,0,1.13,0,132.03,0,0,0,0,11.52
 60-70,0,0.86,0,0,9.11,922.86,0,0,0,22.09,0,5.05,0,0,0.77,0,1.59,1.25,0,210.14,4.4,12.39,22.14,0,0,0,0,1.17,0,79.45,0,0,0.63,0,0
 72-82,0,5.89,0,6.98,0,413.61,0.55,0,0,56.05,9.62,0.77,0,0,3,0,8.53,0,0,240.09,1.92,31.98,35.66,0,0,0,0,0.57,0,72.36,0,0,0,0,2.76
 84-94,0,2.61,2.08,4.89,0,407.45,0,0.79,2.2,41.99,2.41,4.63,0,0.71,3.16,0,7.77,0,1.96,114.37,2.35,22.22,32.55,0,1.35,0,0,0,0,77.87,2.81,0,1.34,1.2,5.71
 96-106,0,0,0,12.96,0,246.99,0,0,0,23.97,6.77,0,0.87,0,5.58,7.59,6.91,0,0.62,141.13,0.62,24.93,32.76,0,3.84,0,0,0,0,59.07,5.9,0,0,0.59,0
108-118,0,4.37,0,0,1.52,203.18,0,5.39,0,29.81,2.04,0,0,0,3.41,0,12.13,0,1.15,210.79,2.81,31.25,51.97,0,1.75,0,0,1.88,0,30.75,10.02,0,1.1,0,0
120,0,0,0,13.14,0,283.33,0,0,0,24.68,17.52,0,0,3.84,19.03,0,7.32,0,0,355.78,3.53,22.44,59.06,0,0,0,0,7.87,0,71.19,4.19,1.52,0,0,0
