stage,blastomeres,endocrine.pancreas,eye,glial,muscle,neural,spinal.cord
  3-4,9.5,0,0,0,0,0,0
 36-46,0,0.98,0,0,0,0,0.68
 48-58,0,0,0,0,0,0,0.84
 60-70,0,0,4.35,0,0,0,0
 72-82,0,0,4.87,1.19,0,0,0
108-118,0,0,7.77,0,3.18,13.16,0
