stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,39.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,4.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92,0,0,5.65,0,0,0,0,0,0,0
 14-21,0,0,1.4,0,0,0,0,0,0,0,0,0,0,1.76,0,7.51,0,0,0,0,1.08,0,0,0,0
 24-34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,4.78,10.17,304.22,0,0,0,0,1.01,0,0,1.05,0
 36-46,0,0,0.57,0,0,4.2,0,0,0,0.56,0,33.15,0,2.61,6.87,646.91,0,0,0,0,1.8,0,0,0,0
 48-58,0.58,0,0,0,3.49,0,5.64,4.79,0,0,3.21,50.03,0,9.99,16.79,554.05,0,0,0,4,0.94,0,0,0,0
 60-70,1.92,0,0,0,13.64,0,7.48,0,0,0,0,194.44,0,29.43,8.55,413.97,0,0,0,0,4.49,0,1.03,0.83,0
 72-82,0,0,0,0,21.91,0,21.26,1.36,0.74,0,0,306.11,1.4,25.53,15.95,263.61,0,0,0,0,0.81,0,1.36,0,1.45
 84-94,0,0,0.98,0.69,14.45,0,5.46,1.1,0,1.01,0,216.57,0.94,22.57,8.64,361.99,0.71,0,0,0,0,1.01,0,0,0
 96-106,1.12,0,0,0,22.54,0,7.95,0,0,0,0,331.17,2.88,15.5,16.5,216.86,0,0,1.04,0,0,0,3.27,0,0
108-118,0,0,0.42,0.88,8.65,0,14.83,0.84,0,2.19,0,422.16,4.1,25.16,21.3,317.96,0,0,1.08,0,0,0,7.62,1.29,0
120,2.23,0,0,0,45.23,0,20.99,0,0,0,0,549.3,0,14.95,20.4,363.34,0,0,0,0,0,0,0,0,0
