stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.14,0,1.17,0,0,0,0,0,0,0,0,0,9.91,0,2.74,2.55,2.31,0,0,0
 24-34,8.86,0,0,0,0,0,0,0,0,0,0.73,0,113.12,0,0,0,0,0,0,0
 36-46,11.18,4.4,0,1.22,1.17,0,0,0,0,0,0,0,562.29,0.83,0,0,11.3,0,0,0
 48-58,1.23,0,0,8.8,0,0,0,0,0,0,1.27,0,882.5,0,0,0,4.26,0,0.4,0
 60-70,8.94,0,0,18.9,0,0,2.93,0,9.49,3.58,0,0,902.13,0,0,0,4.24,0,0,0
 72-82,12.08,0.53,0,79.73,0,0,1.89,0,0,0,2.6,0,1837.22,0,0,0,1.5,0,0,0
 84-94,19.66,0,0,56.37,0,0.64,40.42,2.81,0,0,4.33,0,807.74,0.55,0,0,5.58,0,1.49,3.09
 96-106,34.52,3.78,7.15,28.98,0,0,4.21,0,0,0,5.36,1.79,828.3,3.47,0,0,28.49,0,0,0
108-118,44.67,5.72,0,28.17,0,1.07,0,0,0,0,4.81,0,1211.55,0.55,0,0,2.73,6.56,0,0
120,14.28,0,0,10.39,0,5.33,0,0,0,0,6.26,6.67,1392.45,0,0,0,16.01,0,0,0
