stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.14,5.25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,16.03,0,13.85,0,0,0,0,0,0,0,0,0
 10-12,0,9.42,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,50.48,0,0,21.8,0,0,8.66,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,1.57,0,4.78,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,3.51,0,0,0.69,9.44,0,0,0,0,0,0,4.57,0,0,3.81,0,1.93
 36-46,0,0,0,0,0.57,0,1.66,0,0,0,0,0,2.03,0,0,1.49,0.75,0,0,0.68,4.97,0,0,0,0,0,0,4.25,0,0,1.04,0,27.9
 48-58,0,0,0,0,0,0,0.41,0,0,12.83,0,0,0,0,0,6.25,0.52,0,0,0.72,7.1,0,0,0,0,0,0,1.54,0,0,1.12,0,28.01
 60-70,0,0,0,0.68,0,0,0,0,0,178.31,0,0,0,0,0,0,4,0,0,0.81,4.69,0,0,0,0,0,7.44,0,0,0,0,0,54.36
 72-82,0,0,0,0.75,0,0,14.51,0,0,1430,0,0,0.56,0.65,0,0,13.91,0,1.09,0.57,11.89,0,0,0,0,0,0,3.82,0,1.56,3.29,0,51.76
 84-94,0,0,0,0.92,0,0,31.7,0,0,1067.42,0,0,0,0,0,0,11.39,0,0,1.63,27.37,0,0,0,0.68,0,0,1.31,0,0,1.96,0,18.91
 96-106,0,0,0,18.15,0,1.07,30.42,0.57,0,2616.42,0.6,0,3.38,0,5.58,4.02,21.84,0,0,0,60.16,0,1.13,0,7.16,0,0,0,9.68,0,7.87,0,12.43
108-118,0,0,0,1.23,0,0,8.13,0,0,2400.96,0,0,1.6,0.52,0,0,22.31,0.41,0,0,43.06,0,0,0,3.9,0,0,0.62,0,0,2.01,2.62,40.64
120,0,0,0,0,0,0,15.35,0,4.82,2055.85,0,0,0,0,0,0,3.46,0,0,0,23.61,0,0,0,2.14,0,0,13.83,0,0,0,0,8.72
