stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.6,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.73,0,0,4.51,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.72,0,6.22,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,129.61,0,0,96.89,0,10.14,0,0,7.8,0,36.04,0,0,0,0,0,0
 14-21,0,1.07,4.06,6.65,10.62,0,0,0,0,15.22,0,17.82,0,2.67,0,0,0,0,34.92,0,0,8.31,214.64,4.56,0,0,0,28.86,0,25.27,0,387.9,666.69,71.2,0,0,0,0,0
 24-34,0,0,0,1.93,0,5.96,36.55,0,0,10.56,0,19.66,0,1.12,0,0,0,0,5.49,0,0,27.03,747.52,18.26,0,0,0,21.01,0,0,0,53.35,349.84,139.3,0,0,0,0,4.62
 36-46,0,0,0,0,6.68,29.89,73.01,0,0,11.27,0.95,6.88,0,0,0,0.7,0,0,5.68,0,0.56,33.11,1432.4,21.67,0,0,0,20.74,0.98,1.05,0,40.81,23.39,247.15,0,1.23,7.72,0,0
 48-58,0,0,0,6.34,15.52,139.04,23.43,0,0,46.29,0,1.52,1.31,0,6.3,0,0,3.2,8.37,0,3.44,30.89,1654.76,5.03,6.29,0,0,18.99,0,0,0,26.48,0,264.03,0,0,0.5,0,2.69
 60-70,0,0,0,0.65,26.84,461.1,39.5,0,0,30.51,0,0.65,0,0,0,0,0,9.95,23.54,0,1.89,41.73,2241.78,15.95,0,0,0,13.32,0,0,0.73,18.78,0,272.84,0.84,2.25,1.83,4.09,11.51
 72-82,0,0.49,0,11.96,64.48,400.2,36.85,0,0.85,34.61,0,0,3.84,0.61,0,0,3.14,3.31,20.78,0,1.41,49.49,1547.05,14.57,2.07,0,0,13.63,0,0,0,9.27,0,219.09,2.21,2.34,1.04,12.04,9.18
 84-94,0,0.81,0,13.84,69.42,309.96,36.48,0,0,20.33,1.51,1.31,0,0,1.45,0,0,0,9.56,0,0.68,26.85,968.03,5.96,6.05,0,0,41.58,0,0,0,5.25,0,180.71,1.01,9.84,0,25,0
 96-106,0,1.06,0,9.22,59.74,262.95,38.98,0.57,0,21.82,0,0.62,1.43,0.87,0,1.64,11.46,0,9.17,0,4.06,36.93,770.69,10.91,1.78,2.41,3.28,38.53,0,0,0,3.23,0,58.47,1.22,6.07,0,29.58,0
108-118,0,0,0,12.49,38.83,268.17,45.38,0.55,0,44.18,0.88,5.82,0,1.36,0,0.53,0.7,0,20.79,0.53,0,36.98,1261.58,11.2,0,0,0,32.35,0,0,0,9.54,0,22.44,1.29,2.7,2.3,28.89,0
120,0,0,0,10.8,28.52,214.51,35.04,0,0,37.77,4.91,0,0,0,0,0,0,0,12.89,0,0,27.37,1403.52,17.58,2.3,0,0,22.01,0,0,0,4.24,0,4.36,0,25.54,0,24.46,0
