stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,27.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.13,3.34,0,0,0,0,0,0,0,0,0,0,41.17,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.34,0,0,0,0.85,0,0.84,0.91,0,0,0,0,1.84,0,0,2.15,0,1.36,2.76,0,8.17,0
 24-34,0,0.94,1.51,0,0,0,0,0,0.67,0,0,1.62,0,1.35,10.25,0,0,11.39,0,0,0.85,0,12.68,0
 36-46,0,4.74,0,0,0,0,0,0,1.49,1.85,0,1.41,1.37,0,16.25,0,0,21.44,0,0,2.87,0,6.14,0
 48-58,0,15.09,0,2.28,0.39,0,0,0,0,1.13,0,0,0,0.55,42.04,0,2.29,14.71,0,0,5.47,0,17.69,0
 60-70,0,0.57,5.47,2.48,0,0,0.81,0,1.75,8.58,0,3.58,0,0,14.59,0,0.68,18.27,0,0,0.69,0,12.8,0
 72-82,0,4.34,0,0.89,0,0,1.26,2.63,1.06,2.41,0,2.73,2.18,0,26.77,0,0,17.37,0,0,0.65,0,22.04,0
 84-94,0,5.56,0,4.26,1.51,1.26,2.17,0,0,10.7,0,10.59,1.37,1.74,13.93,1.11,0,10.03,2.32,0,0,0,14.04,0
 96-106,0,3.22,0,11.53,1.1,0,1.95,0,2.39,18.91,0,7.74,0,0,10.49,0,0,44.5,0,0,0,0,17.74,0
108-118,0,2.82,10.62,0.48,0.7,0,1.84,0.79,1.52,21.28,0.88,0,0,0,13.55,0,1.6,20.67,0,0,0,0.57,24.33,1
120,0,6.43,1.08,0,8.22,6.89,4.56,1.54,10.58,39.42,0,18.14,0,0,55.58,0,0,40.03,1.2,0,1.53,0,49.72,0
