stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.09,0.82,1.59,0,0,1.68,0,0,0,0,0,2.03,17.95,3.64,0,0,1.09,0,2.82,9.95,0,0,0,0
 24-34,0.59,1.37,0,58.12,0,0,0.87,0,0,0,3.85,0,3.3,33.28,0,0,2.1,0,0,0,12.04,0,2.56,0,0
 36-46,0,1.1,0,201.93,0,0,2.56,0,0,0,10.38,0.8,0.98,31.84,0,0,0,0,0,0,8.28,0,1.59,0,0
 48-58,0,0,0,338.12,0,0,1.39,0.87,0,1.4,9.3,0,1.04,60.3,0,0,0,0,0,0,7.11,0,0,0,0
 60-70,0,0,0,331.7,0.99,0,6.07,0,0,0,11.66,0,0,33.52,0,0.96,1.49,0,2.66,0,7.16,0,0,0,0
 72-82,0,0,0,287.59,0,0,5.19,0,0,0,17.26,0,6.07,13.31,0,0,1.73,0,0,0,1.14,1.34,3.23,0,0
 84-94,0,2.42,0,495.11,0,0,3.79,0,0,0,5.45,0,0.7,10.03,0,0.56,0,0,0,0,0,0,0,0.68,0
 96-106,0,2.65,9.35,364.35,0,0,15.53,0.86,0.77,14.09,4.58,0,1.16,10.95,0,0,0,0,0,0,3.35,0,0,0,0
108-118,0,0,0,354.79,0,1.14,4.57,0,1.52,0,10.25,0,0,2.11,0,0,0,0,0,0,0,0,0,0,1.58
120,0,0,0,258.77,4.18,2.28,0,0,0,0,0,0,0,30.29,2.28,0,0,0,0,0,0,0,0,0,0
