stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,44.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.71,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.33,0,0,0,0,6.36,0,0,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,74.14,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.28,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.64,12.92,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,0,433.45,5.74,4.67,0,0,0,2.74,1.36,0,0,0,0,0,0,0,0,178.9,0,0,127.52,183.23,752.54,0,1.75,0.8,0,0,3.91,1.52,0,9.8,48.53,0,0,1.82,0,0
 24-34,0,0,0,5.8,378.28,2.49,22.56,0,6.31,11.03,12.41,4.72,0,2.4,0,0.86,0.76,3.93,0,2.74,706.8,0.84,1.21,270.75,245.64,715.89,0.97,7.43,0,1.98,6,0,0,1.89,2.8,118.13,0,0,25.31,0,2.89
 36-46,0,0,0,0,261.82,0,24.65,0,39.65,53.68,24.83,2.63,0,11.18,0,0.62,0,25.18,0,4.05,1088.64,1.37,4.8,296.47,206.58,241.19,0.6,5.11,0,0,8.05,0,3.24,0,0,67.41,0,2.5,27.94,0,2.31
 48-58,0,0,0,0,140.88,0,45.14,0,17.59,84.14,37.65,2.39,0,5.68,0,0.38,6.79,11.24,0,0.39,1675.82,2.44,5.29,179.87,175.76,109.13,0.9,2.28,0,5.56,11.27,0,0.45,0.89,0,80.65,0,10,37.71,0.5,0
 60-70,0,0,0,0,61.72,0,28.23,1.23,9.7,57.58,21,5.16,0,5.17,4.72,0,0,3.03,1.2,0,1439.29,0.57,35.41,100.89,130.17,29.86,0.71,5.68,0,6.61,34.07,0,0,1.57,0,20.21,0,26.07,10.21,2.23,0
 72-82,0,0,0,0,37.8,5.12,71.51,3.27,2.07,131.13,66.01,0.72,0,4.93,6.94,0.61,0,11.67,1.31,0,1751.61,0,33.91,104.99,91.18,15.92,0,11.16,0,12.53,48.77,4.38,0,0,0,20.45,1.21,23.65,22.26,12.5,0
 84-94,0.62,0,0.94,1.04,80.98,8.69,84.28,1.34,21.8,98.95,90.08,2.11,0,8.63,5,0,0,6.04,0,0,1742.5,0.65,41.16,98.34,64.89,22.07,0.7,7.17,0,21.09,79.34,0,2.08,0,0,28.98,0,28.12,19.86,8.6,0.86
 96-106,0,0,0,0,66.98,17.57,61.89,1.95,24.37,138.12,53.26,0.74,0,13.85,8.29,0.77,1.77,14.49,0,1.43,1724.38,4.51,44.49,105.3,129.98,8.67,1.81,5.21,0,33.79,39.78,0,1.49,0,0,33.11,1.88,61.77,30.35,19.57,0
108-118,0,0,0,0.98,57.59,0.54,55.96,0,6.37,91.65,46.87,0.68,0,8.6,12.58,1.45,0,7.89,6.77,1.43,1563.6,0,49.75,96.59,138.77,8.53,2.06,8.2,0,38.73,27.91,0,1.91,0,0,21.4,3.26,35.39,49.73,15.22,0
120,0,0,0,0,79.62,0,39.56,0,9.39,102.46,58.8,0,0,2.09,7.82,1.25,7.23,5.95,0,1.51,1347.63,0,33.97,47.62,133.21,9.11,0,0,0,55.83,3.55,0,0,0,0,4.11,1.81,51.32,10.55,19.54,0
