stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mural.cell,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.13,0,0,0,0.64,0,0,0,0,3.76,0,0,0.38,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.21,0,0.7,2.17,0,1.11,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.91,0,0,0,0,0,0,0,1.01,1.19,0,73.2,2.65,0,2.28,0,0,2.52,0,0,1.03,0,0,0,0,0
 84-94,0,0,0.65,0,0,10.56,0,0,0,6.03,0,333.14,0,0,10.02,1.16,0,0,0,0.83,0.74,4.07,0,0,0,0
 96-106,0,0,1.42,8.07,0,24.39,0.57,0,12.99,10.66,0,539.04,7.61,0.73,95.12,0,2.77,0,0,10.93,2.4,0,1.22,6.98,0,0
108-118,0,0.56,1.74,2.06,1.32,36.47,0,3.21,3.16,15.78,0,1175.08,9.78,0,63.77,0,0,0,1.53,3.21,4.09,1.68,0.75,0,2.94,14.23
120,3.9,0,0,0,0,5.42,0,0,0,2.69,1.65,546.87,0,0,54.76,0,0,0,0,3.03,6.09,0,0,0,0,0
