stage,eye,glial,mural_cell,neural,olfactory,spinal_cord
 14-21,0,0,0,0.91,0,0.98
 36-46,1.28,1.47,0,0.88,1.25,0
 48-58,0,0,0.54,0,0,4.4
 60-70,0,3.56,0,0,0,0
 72-82,0,3.17,0,0,1.09,0.78
 96-106,0,0,0,2.01,0,0
108-118,0,0,0,2.53,0,1.12
120,3.13,6.06,0,0,0,10.72
