stage,epidermis,eye,glial,iridophores,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,7.38,0,0,5.88,0,0,0,0
 14-21,2.22,0,0,0,0,0,5.89,0,0,0,0,1.72,0,0
 24-34,0.68,0,0,0,0,0,5.41,0,0.77,0,0.78,4.44,0,0
 36-46,0,0,0,0.71,0,0,6.42,0,0,0,10.85,1.29,0,1.47
 48-58,0,6.02,0.66,0,0,5.73,25.3,0.86,0,0,2.65,0.75,0,0
 60-70,0,6.71,0.84,0,0,0.71,32.75,0,0,0,4.72,8.2,0,0
 72-82,0,1.41,1.25,0,0,0.63,3.08,0.87,0,0,3.47,0,0.74,0
 84-94,0,3.6,0,0,0,1.81,4.32,0,0,0,9.42,0.79,2.75,0
 96-106,0.93,0,0,0,0,4.05,0.59,0,0,0,26.3,0,0,0
108-118,0,4.47,0,0,2.01,0,2.29,0,0,0,14.47,0,0,0
120,0,4.43,0,0,0,0,0,0,0,0,26.25,0,0,0
