stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.81,100.75,8.14,0,4.79,0,0,0.96,1.87,0,0,3.89,0,0,0,0,9.92,0,0,8.42,228.65,2.68,9.85,7.57,8.66,0,10.06,0.9,41.29,4.82,8.71,50.28,63.01,0,0,0,0,0
 24-34,1.51,0,4.52,0,0,14.46,0.71,0,0,0,0,0,0,0,1.37,0,0,4.02,0.66,0,0.81,493.11,0,20.37,47.28,0,0,30.92,0,0,1.13,2.48,1.39,127.34,0,0,1.32,0,0
 36-46,0.95,0,0.94,0,0,62.19,0,4.4,2.08,0,0,0,0,1.11,3.34,0,2.46,4.13,0,0,0,1192.99,0,31.91,46.73,0,0,6.33,0,0,1.61,0,0,233.53,0,0,0.84,0,2.18
 48-58,2.36,0,15.47,2.12,0,358.79,3.75,1.27,21.7,0,1.17,0,0,4.49,4.39,21.84,0.59,10.85,0,0,3.74,1804.71,0.42,14.6,75.33,0,5.19,1.62,0,0,0,0.4,0,250.17,0,0.64,3.93,0,7.78
 60-70,1.14,0,3.01,0,0,1131.66,0,0,81.73,1.29,0,0,1.02,0,3.96,0,0,14.07,0,0,0,2214.85,0,15.08,53.8,0,0,18.8,0,0,0,0,0,270.79,0,0,3.68,0,4.91
 72-82,13.67,0,15.48,2.91,0,2159.75,0,2.09,92.63,3.79,0.56,4.56,0,0,14.56,0,0.49,30.95,0,0.87,2.08,2552.21,4.2,21.93,114.22,0,3.12,5.51,0,0,1.03,0,0,178.87,1.51,0,5.26,0,15.92
 84-94,7.07,0,20.36,1.74,2.96,1580.35,0,0,77.6,6.92,0,3.88,0,0.67,17.04,0,0,30.1,0,0,1.11,1772.27,0.65,17.39,138.92,0,0,13.37,0,0,3.69,0,0,127.66,3.33,0,2.78,0,10.22
 96-106,7.19,0,21.01,27.11,0,1856.39,0,1.1,98.57,8.62,0,6.63,0,4.14,27.63,2.22,7.04,32.04,0,3.46,5.67,1570.47,0,29.12,98.96,0,0,19.06,0,0,1.4,0,0,88.05,11.9,0,7.31,2.02,19.17
108-118,2.02,0,19.36,4.5,0,1576.21,0.52,2.85,114.95,1.32,0,4.98,0,10.25,28.54,1.31,0.59,47.4,0,0,0.72,2101.34,0.92,23.22,86.03,0,0,14.35,0,0,2.31,0,0,52,4.42,0,3.59,1.7,13.06
120,0,0,39.99,13.46,0,1128.63,0,0,166.14,1.56,0,5.79,1.48,3.86,36.48,1.5,0,57.66,0,11.56,5.3,3217.37,2.06,23.19,245.67,0,0,3.35,0,0,1.12,0,0,70.46,0,0,0,0,0
