stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0
 24-34,0,0,0,0.73,0,0,0,0,0,0,0,0,2.5,0,0,0.67,1.99,0,0,0,0,0,0,0,0
 36-46,0.65,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0.78,0,0,0,0,0.92,0
 48-58,0.73,0,0,0.51,0,0,0,0,0,0,0,0,1.25,0,0,0,6.52,0,1.69,0,0.77,0,0,0,0
 60-70,0,0,0,0,0.65,0,0.67,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0.93,0,0,0,0
 72-82,0,0,0,5.21,0,0,1.42,0,0,0,0,1.6,1.74,0,0,0,3.72,0.67,0.57,0,0,0,0,0,0
 84-94,0,0,0.92,8.43,3.04,0,11.32,0.61,1.13,0.71,2.31,0,0,0,0,2.21,3.24,3.14,8.5,0,0,3,0,0,0.64
 96-106,2.08,4.91,1.05,4.75,0,0.75,7.03,0,0,0,0,0.6,3.39,1.85,0,1.64,10.22,0,3.29,0,0,0,0,11.35,0
108-118,0.51,0,0,1.7,5.51,0,12.04,0,0,0,0.73,0,3.53,0,1.16,0,1.42,0,9.09,0,0,0,0,0,0
120,8.96,0,0,19.07,10.38,0,22.92,5.54,0,2.78,0,0,34.96,1.46,11.74,0,17.39,0,11.82,0,0,0,2.12,9.78,0
