stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,0,0,0,0,0,0,0
  5-6,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.48,0,28.64,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.63,0,0,0,12.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.83,0,0,0,12.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,25.97,1,0,0,0,0,0,1.19,2.86,0,0,0,0,0,0,7.43,5.96,0,0,1.5,127.7,0,30.58,0,0,0,0,0,7.95,0,0,0,0,0
 24-34,0,0,0.61,0,16.08,0,0,12.75,0,0,0,50.26,1.98,2.15,0,0,0.63,1.31,0.62,47.8,2.66,0,0,0.71,637,0,253.93,0.74,0,0,0.61,0,14.51,0,0,0,0,0
 36-46,0,0,0,0,1.98,0,0,48.32,3.01,0,0,288.96,0.86,1.93,0,0,0,0,7.09,15.84,5.03,0,0,1.3,1801.93,0.75,211.79,7.99,0,0,0,0,15.19,0,0,9.99,0,0
 48-58,0,0,0.68,0,14.81,0,0,256.19,0,5.56,0,736.19,1.85,8.34,0.38,0,0,0.44,1.89,2.63,13,0.39,0.44,4.38,2041.86,0,141.76,7.43,0,0,1.69,0,213.67,0,0,0,0,1.12
 60-70,0,0,1.44,0,5.17,0,0,347.74,0,0,2.22,899.4,0.77,3.68,0,0,2.3,0,0,1.94,35,0.65,0,1.35,1895.62,0,139.54,12.77,0,2.33,1.26,0,256.11,0,0,2.98,0,11.47
 72-82,0,0,7.28,0,8.6,0,0,496.58,0,2.85,0,594.19,3.36,22.33,0.49,0.56,6.56,0,2.85,0.64,28.9,0,0.55,2.92,1617.39,0,230.29,5.66,0,0,0,0,189.51,0,3.01,1,1.14,0
 84-94,0,0,3.19,0,11.67,0,0,259.53,0.95,1.93,0,427.78,8.29,3.41,0,0,11.84,0,0,0,23.22,2.54,1.56,0,987.07,0,200.87,5.82,0,0,0,0,102.65,3.74,0,0,0.61,0
 96-106,0,0,3.9,0,20.85,0.63,0.62,203.66,0,0.73,2.45,334.02,3.96,9.57,0,0,8.62,0,1.06,0,29.61,0,2.83,1.57,828.24,0,318.96,9.68,0,0,2.67,3.82,24.7,2.85,1.82,1.94,0.93,0.8
108-118,0,0,9.74,1.8,26.75,6.58,0,202.12,0,0.48,0,324.94,14.04,6.5,0,0,23.14,0,0.57,17.6,35.51,0,0,4.45,926.81,0,286.18,7.98,0,0,1.86,0,12.24,0.45,2.05,0,2.72,0
120,1.19,0,28,0,21.74,0,0,273.42,2.29,1.84,0,480.76,3.17,2,0,4.32,13.13,0,7.41,0,3.91,0,0,0,1025.54,0,289.54,0,0,0,2.44,0,30.52,0,0,0,0,3.17
