stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,277.19,4601,0,0,0,0,0,0,0,0,283.82,0,0
  5-6,261.8,3867.08,0,0,0,0,7.74,68.94,16.8,39.28,104.95,0,0
  7-9,43.1,62.7,91.01,0,104.31,0,31.6,1318.37,47.03,396.41,3.31,16.49,0
 10-12,0,11.17,31.38,6.05,43.96,0,8.59,370.05,13.16,134.69,3.81,16.11,9.98
 84-94,0,0,0,0,0,5.7,0,0,0,0,0,0,0
