stage,epidermis,eye,fin.epithelia,glial,gut,immune,mesenchyme,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,1.82,0.81,0,0,0,0
 24-34,1.43,0,0.7,0,0,0,0.95,5.6,0,4.06,0,0,0
 36-46,0.56,3.23,0,0,0,0,0,7.89,0,11.68,1.31,0,0
 48-58,0,4.94,0,0,0,0.49,0,6.55,0,0,0,0,0
 60-70,0,3.24,0,0,0,0,0,11.46,0,1.94,1.96,0,0
 72-82,0,0,0,0,0,0,2.65,0,0,0,0,0,0
 84-94,0,0,0.66,2.82,0,0,0,0.71,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.9,0,0,11.2,0,0,0
108-118,0,0.52,0,3.43,0.71,0,5.76,3.46,0,5.38,0,1.11,0.44
120,2.34,0,0,0,8.85,0,0,5.36,0,9.16,0,0,0
