stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.37,167.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0
  5-6,6.31,364.14,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,7.41,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,15.05,0,0,0,32.77,0,0,0,8.07,0,0,0,0,0,0,0,0,332.5,9.86,0,0,54.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.74,0,33.37,0,0,0,48.99,0,0,0,9.97,0,0,0,0,0,0,0,0,427.26,17.99,0,0,182.89,0,0,16.67,0,7.77,4.47,0,0,0,0
 14-21,0,0,0,0,0,5.6,0,2.19,0,0,0,0,0,0,0,0,0,0,0,5.82,18.49,0,0,0.81,1.56,0,8.44,0,0,4.48,9.6,0,0,0,0
 24-34,0,0,0,0,0,0,0,8.05,0,1.42,0,0,1.46,0.81,0,0,3.34,0,0,4.73,54.83,0.83,1.57,0,0,10.32,0,0.94,0.61,1.63,4.35,0,0,0,0.77
 36-46,0,0,0,0,0,0.73,0,9.57,1.8,0,0,0,2.69,0.61,0,0,2.24,0,0,0.61,52.34,0,0,0,0,0,0,0,13.16,0,6.31,0,0,0,0
 48-58,0,0,0,0,0.6,4.22,0,18.26,0.74,1.82,0,0,0,0,0.38,1.04,0.39,0,0,1.06,38.89,4.09,0,0.82,0,3.25,0,1.07,8.04,0,4.3,0,0,0,0
 60-70,0,0,0.65,0,7.18,0,0,22.69,0,2.55,0,0,0,3.46,6.29,3.03,14.7,1.02,0,0,51.8,0,0,0,0,3.71,0,1.87,7.15,0,0,0,1.31,0,0
 72-82,0,0,0,0,0.61,0,0,11.82,0.5,0,0,0,0,0,0,0,2.17,0,0,1.29,10.79,0,0,0,0,0,0,1.09,0,0,3.34,0,0,0,0
 84-94,0,0,0,0,7.52,1.33,0,31.51,0.79,3.64,4.88,0,0.87,6.24,1.31,0,15.21,0,0,3.03,20.06,0,1.26,0,0,6.35,0,2.44,1.28,0,5.95,0,0,1.95,0
 96-106,0,0,0,0,1.39,0,0,3.57,0,1.57,0,0,0,1.78,0,0,6.16,0,0,0,18.62,0,2.91,0,1.2,2.43,0,0,0,0,0,0,0,0,0
108-118,0,0,4.02,0,6,1.92,1.68,14.16,1.88,0,1.36,0,2.68,0,0,3.37,0.6,0,0,1.97,15.12,1.36,0,0.79,0,4.27,0,1.07,1.29,0,0,0,3.45,0,0
120,0,0,0,0,12.6,4,1.03,39.47,0,27.28,10.12,0,4.01,10.09,0,0,4.35,0,6.37,10.07,126.15,0,2.64,8.23,0,9.18,0,6.86,1.37,0,3.07,2.24,0,0,0
