stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.91,65.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,37.29,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0.83,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,1.13,18.62,0,0,0,0.95,0,0,0,1.13,5.38,0,0,0,0,0
 24-34,0,0,0,0.91,0,3.08,0,0.7,0,0,0,0,0,0,0,0,1.39,0,27.17,0,0,0.72,90.41,0.71,1.39,0,0,0,3.36,0,1.87,26.35,0,0,2.34,0,0
 36-46,0,0,0,4.66,0.9,12.59,1.41,0,0,0,0,0,1.87,0,0,0,0,0,6.59,0,0,2.02,120.54,0,2.69,0,0,0,1.67,3.13,0,16.46,0,0,0.87,0,0
 48-58,0,0,0,3.18,0,31.02,0,0,0.42,4.04,0,0,0,0.37,0,0,0,0,3.19,0.49,0.54,0.63,99.82,0,0,0,0,0,4.84,0,0,19.44,0,0,0.4,0,0.84
 60-70,0,0,0,9.61,0,16.96,0,0,1.03,0,0,0,0,0,0,0,0,0,16.8,0,0,2.78,53.12,0,0,0,0,0.63,6.41,0,0,3.51,0.77,0,4.99,0,0
 72-82,0,0,0,0.76,0.62,24.07,0,0,0.7,7.94,0,0,0,0,0,2.96,0,0,17.73,0,0,0,99.53,0,0,0.69,0,0,9.89,0,0,5.09,0,0.99,12.42,0,0
 84-94,0,0,0,1.86,0,18.77,0,4.1,0,2.13,0,0,0,0.76,1.66,0,0,0,4.84,0,3.98,0,45.02,0.98,0,0,0,0,4.51,0,0,0,0,0,1.68,0.57,0
 96-106,0,0,0,0,1.98,24.1,0,2.86,0,5.69,1.37,0,0,0,0,0.73,0.83,3.42,10.07,0,0,0,24.07,0,0,1.53,0,3.87,2.55,0,0,0,0.66,2.03,0.57,0,0
108-118,0,0,0,3.47,7.25,14.58,0,0,0,2.91,0,0,0,0,1.52,3.46,0,0,13.54,0,0,0.54,38.97,0.53,0.48,0,0,0,6.83,0.75,0,0,0,0,0.51,0,0
120,0,0,0,7.79,5.2,19.5,0,4.94,0,15.65,0,0,0,0,0,0,0,0,19.48,0,0,0,50.7,0,0,0,0,0,2.32,0,0,0,0,0,3.87,0,0
