stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,periderm,somites,spinal.cord
  3-4,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.82,0,0,0,0
 14-21,0,0.84,0,0,0,0,0,0,2.11,0,0,0,1.46,0
 24-34,0,1.03,0,0,0,0,0,1.62,0,9.29,3.58,0.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,6.51,0,0,0,0
 48-58,0,0,1.44,0.45,0,0,0,0,0,53.92,0,0,0,5.65
 60-70,0,0,0,0,0,0,0,0,0,276.98,0,0,0,0
 72-82,0,0,0,0,0,0.65,0,1.74,0,1.15,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.63,0,80.75,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0
108-118,0,0,0,0,15.61,0,0.59,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,4.77,0,14.75,0,0,0,0
