stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,33.7,3227.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.09,0,0,0,0,0,0,0,0,0,0
  5-6,20.21,390.31,0,0,0,0,0,0,0,0,0,0,20.21,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,0,24.33,0,0,0,0,0,0,0,0,0,0
  7-9,8.02,0,0,0,0,0,0,6.52,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,104.01,59.58,0,0,22.02,85.82,12.81,0,0,0,0,0,0,0,0,0
 10-12,0,5.3,0,20.37,0,0,0,19.92,0,0,0,0,24.31,0,0,0,0,0,0,0,0,0,0,383.56,33.99,0,0,32.46,65.75,3.78,0,16.42,0,0,0,0,0,0,0
 14-21,0,0,0,8.09,75.75,0.85,0,3.57,0,0,1.93,3.1,4.82,0,11.59,0,0.93,19.35,0,0.96,1.24,0,0,25.88,0,0,0,0,513.65,0,2.11,2.79,0,0,2.94,0,0,0,0.85
 24-34,0,0,0,1.9,39.85,0,0,9.08,21.38,0,1.94,1.01,0,0,30.59,0,13.24,19.92,0,10.78,15.33,0,2.97,62.01,3.23,0.59,0,0,1114.15,0,0,3.32,8.94,0.69,4.68,0,0,3.03,7.04
 36-46,0,0,0,0,45.92,0,0,18.26,34.56,0.62,0.64,0,0.76,0,24.24,0,22.78,9.16,0,6.38,16.74,0,0,56.26,9.28,1.29,25.39,0,1417.77,0,0,6.56,0,0,12.91,0,0,1.37,19.52
 48-58,0,0,0,0,20.58,0,0,19.27,18.04,0.41,2.16,0.5,0,0,7.16,0,18.25,7.45,0.4,9.91,18.01,0,1.7,45.66,0.94,0,0.55,0,714.69,0,0,0.41,0,0,7.81,0,0,1.9,74.33
 60-70,0,0,1.14,0,46.83,0,0,26.49,21.63,1.54,8.67,9.7,0,1.17,5.68,0,17.98,13.98,9.71,45.43,11.68,0,0.6,24.06,4.48,0.84,3.88,0,571.34,0,0,4.67,0,0,1.7,0.84,0,0,18.19
 72-82,0,0,4.09,1.12,38.89,1.23,0,70.97,11.01,0,11.87,8.54,0.55,0,9.1,1.39,37.25,5.91,1.8,48,13.01,0,0.74,43.49,0.57,0.56,3.12,0,317.05,0,0,0.51,0,0,2.01,2.72,0.56,1.19,44.61
 84-94,0,0,3.6,0,81.73,0,0.56,70.79,20.34,0.83,8.93,33.65,0.6,0.87,21.15,1.53,47.23,5.59,0,51.08,33.82,0,0,22.04,6.93,0.93,4.21,0,847.88,0,0,0.73,2.01,0,1.56,5.06,0,1.04,33.2
 96-106,0,0,10.7,0,106.18,2.34,0,115.95,12.55,1.07,7.01,42.26,1.32,5.25,19.04,0.57,86.06,12.99,0.69,49.63,17.48,0,1.25,77.23,0.57,5.7,3.91,0,650.75,0,0,2.74,0,0,0,10.36,0,0,11.84
108-118,0,0,1.66,0.95,122.43,0,9.74,160.15,27.21,0,27.84,46.96,0,5.67,25.49,1.54,85.92,16.39,0,24.23,31.01,2.23,0,60.37,2.59,1.09,2.73,0,640.79,0,0,2.68,0,0,4.9,14.08,1.66,12.05,9.33
120,0,0,0,1.28,98.4,2.02,1.91,67.78,17.61,0,43.28,37.5,0,9.91,9.07,7.57,42.32,10.36,0,85.52,32.5,0,0,69.34,1.45,2.2,21.63,0,393.05,0,0,1.79,0,0,0,11.49,0,6.19,8.51
