stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,10.05,1.84,8.49,0,0,0,1.18,0,0,0,0,8.44,0,0,3.19,7.89,0,9.05,80.51,1.67,0,1.04,5.75,0,7.92,5.33,0,0.86,12.87,26.71,0,2.13,0,1.35
 24-34,0,0.61,2.04,1.84,12.97,0,0,0,7.41,0.67,2.01,0,0,0,3.88,0,0.63,19.11,0,1.89,137.47,3.57,0,0.69,0,0,2.67,0,0.6,0.95,1.26,24.82,0,2.19,0,0.72
 36-46,0,0,0,0,15.11,0,0,0,7.69,0,0,0,0,0.61,0.99,0,3.95,7.56,0,3.54,91.19,0,1.69,1,0,0,2.48,0,3.08,0,0,12.29,0,0,0,0
 48-58,0,0,2.11,0,33.65,0.65,0,8.24,7.67,0,0.67,0,0,1.21,1.02,0,0.58,24.75,0.73,5.04,60.45,0,2.12,3.79,0,0,9.29,0,0,0,0,18.34,0,8.93,0,0
 60-70,0,0,0.61,1.64,25.13,0,1.37,0,7.69,1.06,0,0,0,0,0,2.97,0,35.96,0.69,2.6,52.84,0,1.69,5.05,0,0,0,0,0.68,0,0,8.95,0,0,0,0
 72-82,0,0,1.21,0,8.54,0,0,0,8.79,0.53,0.86,0,0,0,0,0,0,12.27,1.78,3.09,48.72,0,0,1.16,0,0,0,0,0,0,0,6.95,1.38,0,0,0
 84-94,0,0,1.4,0,14.31,0,0,0,4.66,0,0,0,0,0,0,0,0,20.35,0.68,3.06,7.19,0,1.6,0.6,0,0,5.61,0,0,0,0,5.41,0,2.78,0,0
 96-106,0,0,0.63,0,12.4,0,1.33,0,8.58,3.77,0,0,0,1.48,2.27,0,0,8.22,0.58,2.91,24.18,0,1.84,1.21,0,4.36,10.32,0,0,0,0,1.03,0,5.74,0.58,0
108-118,0.61,0,4.2,0,2.35,0,0,0,10.21,0,0,0.88,0.81,0.54,0,0,0,16.68,0,1.85,22.83,0,0,0,0,0,1.54,0,1.69,0,0,2.78,0,3.6,0,0
120,0,0,2.57,0,7.64,0,0,3.09,23.65,1.93,0,0,0,0,0,0,0,21.09,1.45,0,29.99,0,3.46,14.94,0,0,5.7,0,0,0,0,13.59,0,0,2.7,0
