stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0.98,0.96,1.13,0,0,0,0,0
 24-34,0,0,0.79,6.7,0,0,0,0,0,0,0,0.74,0,0,0,0.64,0,0,16.24,0,1.52,0,0,1.99,38.22,0,0,0,0,2.42,0,0,1.32,0,3.72,0,0,4.27,0,0
 36-46,0,0,0,17.47,0,0,1.72,0,0,0,0.84,0.59,0,0,0,0,0,0,22.02,0,0,0,0,0.85,87.65,0,2.83,0,0,1.38,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.26,0,0,4.38,0,2.62,0,2.09,0,0,0.51,0.84,0,0,0,134.89,0,1.53,0,0,0.57,20.97,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0
 60-70,0,0,0,0,0,17.21,52.05,0.93,0,0,1.84,0,0,0,0,0,2.37,0,1097.08,0,7.73,0,7.43,0,76.99,6.21,0,0,0,0.73,0,0,0,0,12.81,0,0,0,0,0
 72-82,0,1.54,0,29.39,48.8,0,401.08,3.39,11.9,11.58,75.72,7.84,0,4.81,17.82,6.66,11.53,2.6,12183.68,0,174.31,3.81,3.34,16.37,990.74,1.61,3.05,11.75,4.46,53.41,0,2.76,1.5,0,52.93,10.35,3.16,42.83,3.23,57.07
 84-94,0,0,0,47.36,85.16,2.6,471.97,0.66,2.86,6.03,110.07,42.4,0,0,14.41,8.17,13.18,6.53,34556.55,12.08,363.46,0.86,4.37,41.86,1249.61,11.93,9.85,3.01,1.75,114.97,0,0,0,0,51.38,8.22,2.65,59.27,15.1,46.33
 96-106,2.68,8.53,0,361.66,752.37,66.32,2196.82,20.77,70.61,63.16,499.97,185.81,1.32,30.98,122.48,41.63,23.4,27.96,81635.52,1.44,1077.84,54.74,83.55,100.39,9440.21,31.65,57.4,66.11,37.59,643.45,3.39,3.08,25.33,0,146.77,42.34,31.51,189.05,35.7,120.43
108-118,0,15.4,0.49,331.95,288.77,94.22,2486.95,30.12,67.79,56.8,537.48,162.5,0,19.46,67.38,25.4,61.62,23.46,182534.45,30.4,1138.84,51.01,51.65,117.42,8959.62,52.11,39.69,102.87,65.01,542.26,0,69.28,11.03,0,89.54,59.57,21.88,135.71,34.72,151.56
120,2.82,0,0,350.92,268.14,13.64,1764.33,22.45,90.17,43.2,582.88,85.04,0,15.79,197.86,20.94,19.2,28.85,143520.6,19.12,1529.3,41.45,71.25,87.18,9057.3,26.65,102.79,61.25,97.98,333.42,0,16.19,1.69,0,211.21,34.32,19.67,304.37,17.68,89.17
