stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41,0,0,0,0,0,0,0,0,0,0
  5-6,13.9,27.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.26,0,0,0,9.24,0,12.55,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.53,0,0,0,17.34,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,236.66,20.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,370.09,112.92,0,27.29,0,1.95,0,12.83,1.68,0,7.25,3.29,2.23,0,0,1.42,0,89.21,2.99,0,16.74,186.03,3.18,0,0.82,0,0,1.11,1.4,2.38,10.06,0.85,49.58,0,0,1.82,0,0
 24-34,0,0,0,0.67,1189.33,512.75,0,55.46,0,137.02,0.63,171.33,0.78,0,55.17,34.13,24.35,3.74,47.76,0,0,235.5,114.86,7.15,43.22,613.82,5.95,15.78,10.4,0,1.99,17.76,0,31.94,2.19,0,136.79,0,0,13.99,0,84.54
 36-46,0,0,0,0,712.37,51.08,0,80.18,1.61,219.56,4.57,497.62,2.6,0,97.79,76.47,17.85,1.17,77.22,0,0,615.45,132.67,30.61,69.52,958,2.31,22.75,4.93,0,5.57,5.32,0,5.3,0,0,356.79,0,6.61,16.34,0,344.76
 48-58,0,0,0,0,621.44,80.72,0,200.75,6.53,393.86,6.15,1135.62,2.11,1.29,114.29,51.11,40.74,8.76,76.93,6.4,0,1149.07,138.89,64.72,98.25,1013.55,6.36,36.66,4.6,0,14.24,4.82,0,0,1.01,0,791.13,0,14.91,6.06,1.78,514
 60-70,0,0,0,0,634.74,42.39,0,187.02,0.8,398.42,20.94,1785.67,30.25,0,107.16,97.16,52.26,11.43,111,9.33,0,2051.9,106.6,96.14,101.84,876.11,14.34,28.83,23.24,0,63.17,4.22,0,1.34,0,0,643.21,40.38,69.46,15.94,14.12,560.86
 72-82,0,0,1.33,0,733.32,53.97,1.55,387.67,1.58,347.66,21.75,2147.03,222.31,0.49,166.21,66.34,32.12,85.14,163.27,9.22,1.45,3125.34,196.16,180.17,120.05,1216.38,4.33,90.32,34.14,0,124.91,12.47,0,4.55,0,0,286.82,91.37,132.99,48.96,69.54,513.96
 84-94,0,0,1.12,0,1351.72,58.1,0,436.37,1.41,598.77,27.24,1725.21,433.09,0,167.61,74.56,38.96,9.41,181.27,32.19,0,2479.62,145.03,222.84,105.26,1046.68,0.9,70.68,22.31,0,91.29,9.92,0,17.67,0,0,263.1,448.16,98.29,70.68,100.35,327.04
 96-106,0,0,9.98,3.54,1824.63,206.5,5.66,471.37,1.68,673.34,13.34,2436.45,583.79,0,272.74,111.38,42.51,11.3,346.63,67.87,0,2765.49,223.4,269.99,143.87,1257.97,5.57,146.18,39.21,0,217.15,35,0,8.71,0,0,197.05,754.12,159.97,151.77,127.63,383.97
108-118,2.34,0,5.36,0,1497.64,66.21,30.02,339.63,1.81,864.23,41.73,2082.47,506.31,0,136.88,77.13,75.2,21.29,274.27,86.25,8.09,3541.88,163.49,222.5,120.07,1544.68,7.72,96.56,44.45,0,223.92,33.66,0,15.28,0,0,138.53,709.89,121.34,203.29,86.66,480.16
120,2.23,0,0,3.17,863.32,184.79,3.59,223.63,0,429.8,8.38,1963.29,257.79,0,199.23,132.63,13.14,3.73,104.16,31.99,0,2032.71,107.46,219.07,125.57,1313.41,1.33,86.07,39.52,0,160.06,14.52,0,1.13,0,0,108.97,273.25,81.72,181.27,69.25,97.62
