stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,5.05,0,0,16.93,0,7.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0.6,0.77,0,0.68,16.42,0,0,0.69,0,0,0,102.9,5.63,0,0,1.04,0,0
 36-46,0,0,0.84,0,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,129.5,1.53,0,0,0,0,0
 48-58,0,0,0,0,0,2.83,0,0,0,9.71,1.25,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,44.27,1.68,0,0,0,0,1.67
 60-70,0,2.11,0,1.35,0,3.33,0,0,0,55.6,0,0,0,0,0,0.72,0.67,0,0,30.78,0,0,0,0,0,0,55.63,0,0,0,2.06,0,0
 72-82,0,22.68,0,3.89,0,7.23,0,0,2.45,242.5,0.86,0,1.65,0,0.68,8.99,1.48,1.14,0,45.98,0.88,1.5,0,0,5.5,0,97.02,0,0,0,0,0,0
 84-94,0,24.37,9.04,7.99,2.06,4.84,0.58,6.59,3.31,536.82,0,3.96,1.23,0,0,1.49,6.22,0.84,0.74,48.73,0,0,0,0,5.65,0,198.84,4.82,0,0,0,0,0
 96-106,0,44.65,7.62,8.01,10.46,25.65,4.75,0,23.74,672.6,0,0,0,5.14,2.78,11.4,20.89,1.95,2.9,152.99,0,0.83,0,0,13.04,0,203.07,0,1.51,2.5,2.4,0.93,0.8
108-118,0,23.64,10.36,2.79,0.52,10.11,2.91,0.73,0,717.16,0,1.35,0.77,1.74,0,9.41,15.77,0,0,106.05,0,0,0,0,3.79,0,177.15,1.53,0,2.74,1.71,0,0
120,0,6.58,4.41,11.18,0,7.45,0,0,2.88,436.24,2,0,0,0,0,9.96,11.83,0,0,88,0,0,0,0,0,0,120.91,0,0,0,0,0,10.98
