stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,36.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.9,0,0,0,5.83,0,0,0,0,5,0,0,0,0,0,0,0,0,0,102.1,0,0,0,39.36,4.16,0,0,0,0,0,0
 10-12,0,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.42,0,0,0,7.43,0,0,0,0,0,0,0
 14-21,0,0,3.38,0,0,0.87,0,0,0,1.08,0,0,0,0,0,0,3.33,0,0,1.07,20.29,0,0,0,0,2.25,3.67,1.01,7.13,1.07,0,0
 24-34,0,0,0.63,0,0,0,0,0,0.68,0,0.67,0,27.92,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,3.97,0.64,0,0
 36-46,0,0,0,0,0,0,0,0.6,0,0,0,0,11.27,0,0,0.99,4.24,0,0,1,26.99,0,1.02,1.46,0,1.19,0,0,5.36,0,0,0
 48-58,0,0,6.91,0,0,5.25,0,0.93,3.54,0,0,0,27.21,0,0,0.44,6.04,0,0,2.37,11.84,0,0,0,0,4.24,0,0,6.38,5.4,0,4.02
 60-70,0,0,0.67,0,0,9.89,1.09,0,0,0,0,0,28.48,0,0,1.55,7.04,1.81,0,0,15.6,0,0,0,0,4.51,0,0,0,0.68,0,0
 72-82,0,0,3.47,0,0,9.69,0,1.15,1.62,0,0,0,57.72,0,0,0,14.07,0,1.19,2.52,10.48,0,0,0.53,0,5.65,0,0,4.71,1.78,0,0
 84-94,0.62,0,0,0,0,2.02,0.6,0.65,2.21,1.31,0,1.31,67.3,0,0,0,8.89,0,0,0.68,22,0,0,0.64,0,4.36,0,0,0,4.19,3.29,0
 96-106,0,0,7.6,0,0,8.39,1.38,0,1.76,0,0,1.03,55.97,0,0,0,15.95,0,0,0,23.49,0,0,0.64,0,29.97,0,0,0,4.27,0,2.01
108-118,0,0,1.15,0.69,0.85,2.47,0.43,0,2.62,1.65,0,1.52,70.99,0.51,0.85,0,11.76,0,0,0.43,29.32,2.51,0,1.79,0,33.8,0,0,0,3.27,0.62,1.25
120,0,0,0,0,0,0,0,2.36,0,1.47,0,0,94.02,0,2.62,1.84,33.15,0,0,0,74.6,0,0,0,0,49.9,0,0,0,8.83,0,0
