stage,blastomeres,epidermis,eye,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,spinal.cord
  5-6,9.82,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.82,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.4,0,0,0
 36-46,0,0,0,0,0,0,0,0,8.01,0,0,0
 48-58,0,0,0.5,0,0,0,0,0,6.85,0,0,0
 60-70,0,0,0,1.29,0,0,0,0,4.21,0,0,0
 72-82,0,0,0.51,13.7,0,0,5.24,0.88,60.56,0,0,4.81
 84-94,0,0.68,1.92,34.7,0,0,0,0,22.93,0,0,3.32
 96-106,0,1.92,0.65,46.84,0,10.33,6.37,0,32.05,0,6.19,1.98
108-118,0,1.46,1.23,43.04,0,0,3.01,0,80.39,1.51,0.92,3.44
120,0,0,11.51,17.73,3.35,0,2.22,0,150.28,0,0,3.65
